SERIES_1_3	 "Imoncont"	  ""	 07-Jan-2019	 17:17:48.796
EPC10/2-1	 V-Clamp	 -60.000m	  10.000m	  7.3014k	  6.6448p	  8.1015p
EPC10/2-2	 V-Clamp	  0.0000 	  1.0000m	  2.8735k	  0.0000 	  1.0000p
Sweep #	 R_time[s]	   Mean[A]	    Min[A]	     a2-b3	  Constant	     a5/b4
85	62306,000000000000000	-126,660000000000011	-627,129999999999995	0,000000000500460	10,000000000000000	19,981999999999999
86	62306,000000000000000	-125,140000000000001	-618,470000000000027	0,000000000493320	10,000000000000000	20,271000000000001
87	62306,000000000000000	-121,439999999999998	-605,309999999999945	0,000000000483870	10,000000000000000	20,667000000000002
88	62307,000000000000000	-121,580000000000013	-614,870000000000005	0,000000000493290	10,000000000000000	20,271999999999998
89	62307,000000000000000	-119,099999999999980	-619,370000000000005	0,000000000500280	10,000000000000000	19,989000000000001
90	62308,000000000000000	-122,070000000000007	-617,440000000000055	0,000000000495370	10,000000000000000	20,187000000000001
91	62308,000000000000000	-116,549999999999997	-616,470000000000027	0,000000000499920	10,000000000000000	20,003000000000000
92	62309,000000000000000	-120,139999999999986	-612,940000000000055	0,000000000492800	10,000000000000000	20,292000000000002
93	62309,000000000000000	-117,219999999999985	-635,129999999999995	0,000000000517900	10,000000000000000	19,309000000000001
94	62309,000000000000000	-132,389999999999986	-628,029999999999973	0,000000000495640	10,000000000000000	20,175999999999998
95	62310,000000000000000	-122,629999999999995	-625,279999999999973	0,000000000502650	10,000000000000000	19,895000000000000
96	62310,000000000000000	-124,840000000000003	-618,559999999999945	0,000000000493730	10,000000000000000	20,254000000000001
97	62311,000000000000000	-125,030000000000015	-614,750000000000000	0,000000000489720	10,000000000000000	20,420000000000002
98	62311,000000000000000	-120,780000000000001	-636,809999999999945	0,000000000516030	10,000000000000000	19,379000000000001
99	62312,000000000000000	-121,350000000000009	-623,120000000000005	0,000000000501770	10,000000000000000	19,928999999999998
100	62312,000000000000000	-121,719999999999999	-612,409999999999968	0,000000000490690	10,000000000000000	20,379999999999999
101	62313,000000000000000	-124,409999999999997	-612,659999999999968	0,000000000488250	10,000000000000000	20,481000000000002
102	62313,000000000000000	-118,919999999999987	-611,809999999999945	0,000000000492890	10,000000000000000	20,289000000000001
103	62313,000000000000000	-131,629999999999995	-614,279999999999973	0,000000000482650	10,000000000000000	20,719000000000001
104	62314,000000000000000	-124,079999999999998	-615,559999999999945	0,000000000491480	10,000000000000000	20,347000000000001
105	62314,000000000000000	-127,739999999999995	-621,279999999999973	0,000000000493540	10,000000000000000	20,262000000000000
106	62315,000000000000000	-122,290000000000006	-1024,000000000000227	0,000000000901710	10,000000000000000	11,090000000000000
107	62315,000000000000000	-151,110000000000014	-618,559999999999945	0,000000000467460	10,000000000000000	21,391999999999999
108	62316,000000000000000	-207,860000000000014	-644,059999999999945	0,000000000436200	10,000000000000000	22,925000000000001
109	62316,000000000000000	-159,680000000000007	-622,809999999999945	0,000000000463130	10,000000000000000	21,591999999999999
110	62316,000000000000000	-176,550000000000011	-640,190000000000055	0,000000000463640	10,000000000000000	21,568000000000001
111	62317,000000000000000	-163,750000000000000	-640,000000000000000	0,000000000476250	10,000000000000000	20,997000000000000
112	62317,000000000000000	-175,460000000000008	-647,940000000000055	0,000000000472480	10,000000000000000	21,164999999999999
113	62318,000000000000000	-148,599999999999994	-658,379999999999995	0,000000000509780	10,000000000000000	19,616000000000000
114	62318,000000000000000	-142,789999999999992	-637,000000000000000	0,000000000494210	10,000000000000000	20,234000000000002
115	62319,000000000000000	-136,569999999999993	-635,220000000000027	0,000000000498650	10,000000000000000	20,053999999999998
116	62319,000000000000000	-132,680000000000007	-629,190000000000055	0,000000000496500	10,000000000000000	20,140999999999998
117	62320,000000000000000	-130,080000000000013	-641,190000000000055	0,000000000511110	10,000000000000000	19,565000000000001
118	62320,000000000000000	-125,849999999999980	-623,190000000000055	0,000000000497340	10,000000000000000	20,106999999999999
119	62320,000000000000000	-123,430000000000007	-617,029999999999973	0,000000000493600	10,000000000000000	20,259000000000000
120	62321,000000000000000	-126,590000000000003	-615,220000000000027	0,000000000488630	10,000000000000000	20,465000000000000
121	62321,000000000000000	-120,200000000000017	-619,340000000000032	0,000000000499140	10,000000000000000	20,033999999999999
122	62322,000000000000000	-118,709999999999994	-612,909999999999968	0,000000000494190	10,000000000000000	20,234999999999999
123	62322,000000000000000	-118,209999999999994	-594,440000000000055	0,000000000476230	10,000000000000000	20,998000000000001
124	62323,000000000000000	-116,400000000000006	-594,779999999999973	0,000000000478380	10,000000000000000	20,904000000000000
125	62323,000000000000000	-120,139999999999986	-614,159999999999968	0,000000000494010	10,000000000000000	20,242000000000001
126	62323,000000000000000	-119,190000000000012	-614,279999999999973	0,000000000495090	10,000000000000000	20,198000000000000
127	62324,000000000000000	-115,019999999999996	-601,500000000000000	0,000000000486480	10,000000000000000	20,556000000000001
128	62324,000000000000000	-121,559999999999988	-620,690000000000055	0,000000000499120	10,000000000000000	20,035000000000000
129	62325,000000000000000	-117,120000000000005	-595,590000000000032	0,000000000478470	10,000000000000000	20,899999999999999
130	62325,000000000000000	-119,689999999999998	-608,340000000000032	0,000000000488650	10,000000000000000	20,463999999999999
131	62326,000000000000000	-145,409999999999997	-614,840000000000032	0,000000000469430	10,000000000000000	21,302000000000000
132	62326,000000000000000	-119,899999999999991	-600,720000000000027	0,000000000480820	10,000000000000000	20,797999999999998
