16-Nov-2018 10:09:09

Existing File opened read-only: 
  "D:\HEKA_DATA\1810292ho.dat". 

GROUP_1,    3

SERIES_1_1, "IVCC-I",  "", 29-Oct-2018, 16:02:56.906
EPC10/2-1, C-Clamp,  0.0000 ,  10.000m,  7.3014k,  6.8472p,  15.719p
    751,  -155.60p,  -752.53p,   596.94p,   10.000m,   16.752M
    752,  -161.73p,  -755.13p,   593.39p,   10.000m,   16.852M
    753,  -157.37p,  -755.87p,   598.51p,   10.000m,   16.708M
    754,  -158.62p,  -750.94p,   592.32p,   10.000m,   16.883M
    755,  -158.37p,  -766.09p,   607.72p,   10.000m,   16.455M
    756,  -157.00p,  -756.81p,   599.82p,   10.000m,   16.672M
    757,  -151.96p,  -754.19p,   602.22p,   10.000m,   16.605M
    758,  -154.51p,  -1.0240n,   869.49p,   10.000m,   11.501M
    759,  -155.72p,  -739.75p,   584.03p,   10.000m,   17.122M
    760,  -159.16p,  -750.66p,   591.50p,   10.000m,   16.906M
    761,  -159.11p,  -744.81p,   585.70p,   10.000m,   17.074M
    762,  -159.03p,  -803.03p,   644.00p,   10.000m,   15.528M
    763,  -159.30p,  -736.88p,   577.57p,   10.000m,   17.314M
    764,  -152.49p,  -761.97p,   609.48p,   10.000m,   16.407M
    765,  -156.78p,  -782.69p,   625.91p,   10.000m,   15.977M
    766,  -154.46p,  -738.78p,   584.32p,   10.000m,   17.114M
    767,  -153.08p,  -754.75p,   601.67p,   10.000m,   16.620M
    768,  -155.43p,  -753.75p,   598.32p,   10.000m,   16.714M
    769,  -148.48p,  -739.62p,   591.15p,   10.000m,   16.916M
    770,  -149.47p,  -754.78p,   605.31p,   10.000m,   16.520M
    771,  -147.25p,  -749.00p,   601.75p,   10.000m,   16.618M
    772,  -148.41p,  -747.91p,   599.49p,   10.000m,   16.681M
    773,  -152.61p,  -738.53p,   585.92p,   10.000m,   17.067M
    774,  -151.50p,  -730.69p,   579.19p,   10.000m,   17.265M
    775,  -151.60p,  -748.09p,   596.49p,   10.000m,   16.765M
    776,  -150.61p,  -753.50p,   602.89p,   10.000m,   16.587M
    777,  -154.13p,  -763.34p,   609.21p,   10.000m,   16.415M
    778,  -153.51p,  -746.50p,   592.99p,   10.000m,   16.864M
    779,  -150.43p,  -735.66p,   585.23p,   10.000m,   17.087M
    780,  -151.71p,  -748.28p,   596.57p,   10.000m,   16.763M
    781,  -147.15p,  -752.22p,   605.07p,   10.000m,   16.527M
    782,  -147.26p,  -741.81p,   594.55p,   10.000m,   16.819M
    783,  -147.26p,  -736.62p,   589.36p,   10.000m,   16.968M
    784,  -148.83p,  -755.44p,   606.61p,   10.000m,   16.485M
    785,  -149.23p,  -745.56p,   596.33p,   10.000m,   16.769M
    786,  -144.67p,  -746.34p,   601.67p,   10.000m,   16.620M
    787,  -146.61p,  -747.81p,   601.20p,   10.000m,   16.633M
    788,  -148.86p,  -746.66p,   597.80p,   10.000m,   16.728M
    789,  -151.08p,  -756.31p,   605.23p,   10.000m,   16.523M
    790,  -151.23p,  -771.22p,   619.99p,   10.000m,   16.129M
    791,  -156.72p,  -752.06p,   595.34p,   10.000m,   16.797M
    792,  -147.08p,  -736.97p,   589.89p,   10.000m,   16.952M
    793,  -149.32p,  -749.62p,   600.30p,   10.000m,   16.658M
    794,  -245.58p,  -787.09p,   541.52p,   10.000m,   18.467M
    795,  -167.60p,  -774.41p,   606.81p,   10.000m,   16.480M
    796,  -252.57p,  -854.59p,   602.03p,   10.000m,   16.611M
    797,  -274.14p,  -868.25p,   594.11p,   10.000m,   16.832M
    798,  -281.94p,  -886.09p,   604.15p,   10.000m,   16.552M
    799,  -290.42p,  -869.59p,   579.17p,   10.000m,   17.266M
    800,  -285.20p,  -879.94p,   594.73p,   10.000m,   16.814M
    801,  -281.12p,  -874.06p,   592.94p,   10.000m,   16.865M
    802,  -281.21p,  -876.94p,   595.73p,   10.000m,   16.786M
    803,  -285.25p,  -868.44p,   583.19p,   10.000m,   17.147M
    804,  -283.64p,  -880.37p,   596.74p,   10.000m,   16.758M
    805,  -281.60p,  -863.03p,   581.43p,   10.000m,   17.199M
    806,  -278.37p,  -863.91p,   585.53p,   10.000m,   17.078M
    807,  -277.07p,  -860.28p,   583.22p,   10.000m,   17.146M
    808,  -272.77p,  -856.91p,   584.14p,   10.000m,   17.119M
    809,  -276.71p,  -861.09p,   584.39p,   10.000m,   17.112M
    810,  -278.74p,  -866.69p,   587.95p,   10.000m,   17.008M
    811,  -271.52p,  -851.50p,   579.98p,   10.000m,   17.242M
    812,  -275.38p,  -862.87p,   587.50p,   10.000m,   17.021M
    813,  -274.33p,  -867.38p,   593.04p,   10.000m,   16.862M
    814,  -277.93p,  -853.63p,   575.70p,   10.000m,   17.370M
    815,  -277.31p,  -863.50p,   586.19p,   10.000m,   17.059M
    816,  -277.81p,  -844.12p,   566.32p,   10.000m,   17.658M
    817,  -272.81p,  -852.56p,   579.75p,   10.000m,   17.249M
    818,  -279.93p,  -866.03p,   586.10p,   10.000m,   17.062M
    819,  -279.60p,  -880.09p,   600.49p,   10.000m,   16.653M
    820,  -275.40p,  -863.00p,   587.60p,   10.000m,   17.018M
    821,  -273.07p,  -857.38p,   584.31p,   10.000m,   17.114M
    822,  -275.47p,  -870.69p,   595.22p,   10.000m,   16.801M
    823,  -274.11p,  -866.50p,   592.39p,   10.000m,   16.881M
    824,  -273.37p,  -871.56p,   598.19p,   10.000m,   16.717M
    825,  -278.84p,  -872.97p,   594.13p,   10.000m,   16.831M
    826,  -276.92p,  -870.13p,   593.20p,   10.000m,   16.858M
    827,  -274.25p,  -858.75p,   584.50p,   10.000m,   17.109M
    828,  -272.96p,  -858.94p,   585.97p,   10.000m,   17.066M
    829,  -273.84p,  -874.12p,   600.28p,   10.000m,   16.659M
    830,  -275.44p,  -858.94p,   583.50p,   10.000m,   17.138M
    831,  -274.87p,  -874.81p,   599.94p,   10.000m,   16.668M
    832,  -270.03p,  -854.56p,   584.53p,   10.000m,   17.108M
    833,  -268.22p,  -852.75p,   584.53p,   10.000m,   17.108M
    834,  -272.82p,  -867.59p,   594.78p,   10.000m,   16.813M
    835,  -271.42p,  -860.97p,   589.55p,   10.000m,   16.962M
    836,  -269.79p,  -859.25p,   589.46p,   10.000m,   16.965M
    837,  -267.70p,  -856.59p,   588.89p,   10.000m,   16.981M
    838,  -268.21p,  -850.84p,   582.63p,   10.000m,   17.164M
    839,  -269.11p,  -857.78p,   588.67p,   10.000m,   16.988M
    840,  -267.51p,  -861.94p,   594.43p,   10.000m,   16.823M
    841,  -269.76p,  -868.53p,   598.77p,   10.000m,   16.701M
    842,  -269.92p,  -861.84p,   591.93p,   10.000m,   16.894M
    843,  -271.53p,  -868.78p,   597.25p,   10.000m,   16.743M
    844,  -273.26p,  -863.63p,   590.37p,   10.000m,   16.939M
    845,  -271.95p,  -858.53p,   586.58p,   10.000m,   17.048M
    846,  -270.33p,  -855.94p,   585.61p,   10.000m,   17.076M
    847,  -267.05p,  -855.59p,   588.55p,   10.000m,   16.991M
    848,  -268.55p,  -856.94p,   588.39p,   10.000m,   16.996M
    849,  -265.71p,  -855.97p,   590.26p,   10.000m,   16.942M
    850,  -266.47p,  -859.16p,   592.69p,   10.000m,   16.872M
    851,  -271.94p,  -858.81p,   586.87p,   10.000m,   17.039M
    852,  -274.87p,  -867.91p,   593.04p,   10.000m,   16.862M
    853,  -271.68p,  -947.59p,   675.91p,   10.000m,   14.795M
    854,  -270.77p,  -853.31p,   582.54p,   10.000m,   17.166M
    855,  -271.14p,  -870.87p,   599.74p,   10.000m,   16.674M
    856,  -270.32p,  -852.41p,   582.09p,   10.000m,   17.180M
    857,  -268.27p,  -859.41p,   591.14p,   10.000m,   16.916M
    858,  -264.34p,  -847.25p,   582.91p,   10.000m,   17.155M
    859,  -265.14p,  -860.66p,   595.52p,   10.000m,   16.792M
    860,  -259.07p,  -845.34p,   586.27p,   10.000m,   17.057M
