16-Nov-2018 10:09:09

Existing File opened read-only: 
  "D:\HEKA_DATA\1810292ho.dat". 

GROUP_1,    3

SERIES_1_1, "IVCC-I",  "", 29-Oct-2018, 16:02:56.906
EPC10/2-1, C-Clamp,  0.0000 ,  10.000m,  7.3014k,  6.8472p,  15.719p
    224,  -155.66p,  -593.94p,   438.28p,   10.000m,   22.816M
    225,  -156.37p,  -589.34p,   432.97p,   10.000m,   23.096M
    226,  -158.76p,  -593.69p,   434.92p,   10.000m,   22.993M
    227,  -160.17p,  -602.34p,   442.17p,   10.000m,   22.616M
    228,  -159.77p,  -588.28p,   428.51p,   10.000m,   23.336M
    229,  -159.76p,  -619.31p,   459.55p,   10.000m,   21.760M
    230,  -162.06p,  -599.63p,   437.56p,   10.000m,   22.854M
    231,  -160.35p,  -592.25p,   431.90p,   10.000m,   23.153M
    232,  -161.55p,  -587.50p,   425.95p,   10.000m,   23.477M
    233,  -159.82p,  -595.88p,   436.06p,   10.000m,   22.933M
    234,  -162.43p,  -576.47p,   414.04p,   10.000m,   24.152M
    235,  -159.23p,  -579.25p,   420.02p,   10.000m,   23.808M
    236,  -162.93p,  -583.34p,   420.41p,   10.000m,   23.786M
    237,  -164.21p,  -577.44p,   413.23p,   10.000m,   24.200M
    238,  -159.99p,  -593.06p,   433.07p,   10.000m,   23.091M
    239,  -159.75p,  -573.28p,   413.53p,   10.000m,   24.182M
    240,  -160.11p,  -581.84p,   421.73p,   10.000m,   23.712M
    241,  -158.79p,  -580.94p,   422.15p,   10.000m,   23.688M
    242,  -158.43p,  -583.41p,   424.97p,   10.000m,   23.531M
    243,  -159.02p,  -595.28p,   436.26p,   10.000m,   22.922M
    244,  -160.32p,  -616.59p,   456.27p,   10.000m,   21.917M
    245,  -164.05p,  -608.78p,   444.73p,   10.000m,   22.486M
    246,  -158.38p,  -614.50p,   456.12p,   10.000m,   21.924M
    247,  -158.98p,  -630.50p,   471.52p,   10.000m,   21.208M
    248,  -162.75p,  -616.84p,   454.09p,   10.000m,   22.022M
    249,  -159.05p,  -617.50p,   458.45p,   10.000m,   21.813M
    250,  -164.37p,  -635.84p,   471.47p,   10.000m,   21.210M
    251,  -164.25p,  -637.16p,   472.90p,   10.000m,   21.146M
    252,  -164.28p,  -636.72p,   472.44p,   10.000m,   21.167M
    253,  -164.30p,  -640.91p,   476.60p,   10.000m,   20.982M
    254,  -162.56p,  -636.00p,   473.44p,   10.000m,   21.122M
    255,  -165.28p,  -649.50p,   484.22p,   10.000m,   20.652M
    256,  -166.30p,  -643.88p,   477.57p,   10.000m,   20.939M
    257,  -168.25p,  -652.13p,   483.88p,   10.000m,   20.666M
    258,  -168.28p,  -658.78p,   490.50p,   10.000m,   20.387M
    259,  -167.53p,  -668.41p,   500.87p,   10.000m,   19.965M
    260,  -167.64p,  -674.50p,   506.86p,   10.000m,   19.730M
    261,  -171.59p,  -676.72p,   505.13p,   10.000m,   19.797M
    262,  -166.92p,  -666.00p,   499.08p,   10.000m,   20.037M
    263,  -170.90p,  -666.00p,   495.10p,   10.000m,   20.198M
    264,  -171.00p,  -672.75p,   501.75p,   10.000m,   19.930M
    265,  -171.41p,  -679.94p,   508.52p,   10.000m,   19.665M
    266,  -172.70p,  -673.50p,   500.80p,   10.000m,   19.968M
    267,  -173.23p,  -682.28p,   509.05p,   10.000m,   19.645M
    268,  -173.18p,  -704.06p,   530.89p,   10.000m,   18.836M
    269,  -174.17p,  -670.34p,   496.17p,   10.000m,   20.154M
    270,  -168.73p,  -687.63p,   518.89p,   10.000m,   19.272M
    271,  -172.82p,  -683.38p,   510.55p,   10.000m,   19.587M
    272,  -173.25p,  -684.16p,   510.91p,   10.000m,   19.573M
    273,  -175.36p,  -673.16p,   497.79p,   10.000m,   20.089M
    274,  -173.49p,  -677.37p,   503.89p,   10.000m,   19.846M
    275,  -179.69p,  -691.09p,   511.40p,   10.000m,   19.554M
    276,  -175.85p,  -692.78p,   516.93p,   10.000m,   19.345M
    277,  -177.52p,  -696.31p,   518.79p,   10.000m,   19.276M
    278,  -180.29p,  -692.59p,   512.30p,   10.000m,   19.520M
    279,  -178.33p,  -689.41p,   511.08p,   10.000m,   19.567M
    280,  -180.17p,  -703.44p,   523.27p,   10.000m,   19.111M
    281,  -175.88p,  -686.47p,   510.59p,   10.000m,   19.585M
    282,  -175.82p,  -694.69p,   518.87p,   10.000m,   19.273M
    283,  -176.42p,  -699.63p,   523.20p,   10.000m,   19.113M
