
Sweep #,       Time[s],        SweepC,       Mean[V],         a4-b5
      1,    0.00000000,             1,  -60.9035308m,  -14.3857268m
      2,    1.00000000,             2,  -59.7181813m,  -19.3888820m
      3,    2.00000000,             3,  -59.4447126m,  -17.7563443m
      4,    3.00000000,             4,  -58.5788537m,  -22.0533220m
      5,    4.00000000,             5,  -58.1700116m,  -16.4409130m
      6,    5.00000000,             6,  -58.5418996m,  -17.2521288m
      7,    6.00000000,             7,  -58.6600255m,  -16.7350715m
      8,    7.00000000,             8,  -57.9222000m,  -20.8195849m
      9,    8.00000000,             9,  -58.1402959m,  -17.0530348m
     10,    9.00000000,            10,  -57.1046434m,  -17.5196090m
     11,    10.0000000,            11,  -56.7999870m,  -16.3954155m
     12,    11.0000000,            12,  -55.9000531m,  -17.2157439m
     13,    12.0000000,            13,  -55.0568199m,  -13.7963639m
     14,    13.0000000,            14,  -52.7184954m,  -14.9488764m
     15,    14.0000000,            15,  -42.6866061m,  -10.5020708m
     16,    15.0000000,            16,  -52.4987351m,  -13.6331009m
     17,    16.0000000,            17,  -38.1512927m,   9.77430181m
     18,    17.0000000,            18,  -39.0138561m,   18.1130753m
Sweep #,     R_time[s],       Mean[A],        Min[A],         a2-b3,      Constant,         a5/b4
      4,   53.2458129k,  -65.7977950p,  -366.812497p,   301.014702p,   10.0000000m,   33.2209687M
      5,   53.2462499k,  -66.2187158p,  -371.406239p,   305.187523p,   10.0000000m,   32.7667393M
      6,   53.2466869k,  -60.7165857p,  -375.593751p,   314.877165p,   10.0000000m,   31.7584160M
      7,   53.2471386k,  -66.8316009p,  -382.843757p,   316.012156p,   10.0000000m,   31.6443523M
      8,   53.2475759k,  -64.5939714p,  -370.531245p,   305.937273p,   10.0000000m,   32.6864389M
      9,   53.2480279k,  -58.9811714p,  -376.843751p,   317.862579p,   10.0000000m,   31.4601361M
     10,   53.2484804k,  -63.1625203p,  -366.375014p,   303.212493p,   10.0000000m,   32.9801714M
     11,   53.2489240k,  -69.1859665p,  -382.187504p,   313.001537p,   10.0000000m,   31.9487249M
     12,   53.2493775k,  -63.8111026p,  -368.718750p,   304.907647p,   10.0000000m,   32.7968160M
     13,   53.2498219k,  -65.9349781p,  -371.156245p,   305.221267p,   10.0000000m,   32.7631168M
     14,   53.2502589k,  -72.4225396p,  -371.812497p,   299.389958p,   10.0000000m,   33.4012539M
     15,   53.2507109k,  -59.0993387p,  -355.468738p,   296.369399p,   10.0000000m,   33.7416752M
     16,   53.2511478k,  -60.4106970p,  -364.656250p,   304.245553p,   10.0000000m,   32.8681879M
     17,   53.2515840k,  -57.6917938p,  -365.125014p,   307.433220p,   10.0000000m,   32.5273892M
Sweep #,       Time[s],        SweepC,       Mean[V],         a4-b5
      1,    0.00000000,             1,  -48.8904543m,  -7.67005766m
      2,    1.00000000,             2,  -35.0245813m,   3.65914904m
      3,    2.00000000,             3,  -38.9478336m,   2.46976834m
      4,    3.00000000,             4,  -39.2022921m,  -1.94456135m
Sweep #,     R_time[s],       Mean[A],        Min[A],         a2-b3,      Constant,         a5/b4
      1,   55.5023201k,  -122.986436p,  -764.406261p,   641.419824p,   10.0000000m,   15.5904131M
      2,   55.5027640k,  -114.253135p,  -762.312491p,   648.059356p,   10.0000000m,   15.4306853M
      3,   55.5032099k,  -121.349833p,  -754.843743p,   633.493910p,   10.0000000m,   15.7854714M
      4,   55.5036619k,  -208.788099p,  -769.406261p,   560.618162p,   10.0000000m,   17.8374528M
      5,   55.5040983k,  -189.985329p,  -1.02400000n,   834.014667p,   10.0000000m,   11.9901968M
      6,   55.5045509k,  -179.573064p,  -791.250010p,   611.676945p,   10.0000000m,   16.3484991M
      7,   55.5049879k,  -152.554764p,  -772.093722p,   619.538958p,   10.0000000m,   16.1410350M
      8,   55.5054249k,  -130.243934p,  -758.218766p,   627.974832p,   10.0000000m,   15.9242051M
      9,   55.5058619k,  -129.942628p,  -770.812525p,   640.869896p,   10.0000000m,   15.6037911M
