
Sweep #,       Time[s],        SweepC,       Mean[V],         a4-b5
      1,    0.00000000,             1,  -60.9035308m,  -14.3857268m
      2,    1.00000000,             2,  -59.7181813m,  -19.3888820m
      3,    2.00000000,             3,  -59.4447126m,  -17.7563443m
      4,    3.00000000,             4,  -58.5788537m,  -22.0533220m
      5,    4.00000000,             5,  -58.1700116m,  -16.4409130m
      6,    5.00000000,             6,  -58.5418996m,  -17.2521288m
      7,    6.00000000,             7,  -58.6600255m,  -16.7350715m
      8,    7.00000000,             8,  -57.9222000m,  -20.8195849m
      9,    8.00000000,             9,  -58.1402959m,  -17.0530348m
     10,    9.00000000,            10,  -57.1046434m,  -17.5196090m
     11,    10.0000000,            11,  -56.7999870m,  -16.3954155m
     12,    11.0000000,            12,  -55.9000531m,  -17.2157439m
     13,    12.0000000,            13,  -55.0568199m,  -13.7963639m
     14,    13.0000000,            14,  -52.7184954m,  -14.9488764m
     15,    14.0000000,            15,  -42.6866061m,  -10.5020708m
     16,    15.0000000,            16,  -52.4987351m,  -13.6331009m
     17,    16.0000000,            17,  -38.1512927m,   9.77430181m
     18,    17.0000000,            18,  -39.0138561m,   18.1130753m
Sweep #,     R_time[s],       Mean[A],        Min[A],         a2-b3,      Constant,         a5/b4
    391,   55.6756219k,  -132.937278p,  -785.312482p,   652.375203p,   10.0000000m,   15.3286022M
    392,   55.6760589k,  -125.258639p,  -773.875020p,   648.616381p,   10.0000000m,   15.4174336M
    393,   55.6765109k,  -127.007037p,  -777.281239p,   650.274203p,   10.0000000m,   15.3781281M
    394,   55.6769479k,  -127.898497p,  -771.499975p,   643.601478p,   10.0000000m,   15.5375653M
    395,   55.6774009k,  -136.158516p,  -785.874976p,   649.716460p,   10.0000000m,   15.3913293M
    396,   55.6778529k,  -128.104144p,  -775.937481p,   647.833337p,   10.0000000m,   15.4360689M
    397,   55.6782971k,  -130.771145p,  -793.281274p,   662.510129p,   10.0000000m,   15.0941089M
    398,   55.6787419k,  -126.602320p,  -788.562493p,   661.960173p,   10.0000000m,   15.1066490M
    399,   55.6791789k,  -133.680326p,  -778.031251p,   644.350924p,   10.0000000m,   15.5194935M
    400,   55.6796309k,  -127.856461p,  -781.343767p,   653.487306p,   10.0000000m,   15.3025161M
    401,   55.6800679k,  -125.536923p,  -797.031274p,   671.494351p,   10.0000000m,   14.8921580M
    402,   55.6805209k,  -119.630640p,  -796.656241p,   677.025601p,   10.0000000m,   14.7704902M
    403,   55.6809729k,  -126.430173p,  -785.468746p,   659.038573p,   10.0000000m,   15.1736187M
    404,   55.6814168k,  -120.062755p,  -768.750008p,   648.687253p,   10.0000000m,   15.4157492M
    405,   55.6818619k,  -121.921500p,  -789.062482p,   667.140982p,   10.0000000m,   14.9893355M
    406,   55.6822989k,  -116.923681p,  -768.093755p,   651.170075p,   10.0000000m,   15.3569711M
    407,   55.6827509k,  -124.151785p,  -766.656238p,   642.504453p,   10.0000000m,   15.5640945M
    408,   55.6831879k,  -118.375800p,  -786.281262p,   667.905462p,   10.0000000m,   14.9721788M
    409,   55.6836409k,  -127.971561p,  -783.999976p,   656.028415p,   10.0000000m,   15.2432422M
    410,   55.6840923k,  -130.405756p,  -784.218745p,   653.812990p,   10.0000000m,   15.2948934M
    411,   55.6845365k,  -118.589149p,  -787.374999p,   668.785850p,   10.0000000m,   14.9524695M
    412,   55.6849819k,  -159.545563p,  -812.093726p,   652.548163p,   10.0000000m,   15.3245394M
    413,   55.6854189k,  -113.130503p,  -781.687493p,   668.556989p,   10.0000000m,   14.9575880M
    414,   55.6858709k,  -119.657868p,  -763.656249p,   643.998381p,   10.0000000m,   15.5279893M
    415,   55.6863079k,  -119.485601p,  -786.906262p,   667.420661p,   10.0000000m,   14.9830543M
    416,   55.6867609k,  -115.861079p,  -773.156261p,   657.295183p,   10.0000000m,   15.2138647M
    417,   55.6872129k,  -117.151870p,  -808.968725p,   691.816855p,   10.0000000m,   14.4546926M
    418,   55.6876565k,  -113.375613p,  -788.531240p,   675.155627p,   10.0000000m,   14.8113999M
    419,   55.6881013k,  -117.199887p,  -793.281274p,   676.081387p,   10.0000000m,   14.7911186M
    420,   55.6885389k,  -119.923442p,  -781.593734p,   661.670292p,   10.0000000m,   15.1132673M
    421,   55.6889909k,  -129.928196p,  -787.656274p,   657.728077p,   10.0000000m,   15.2038515M
    422,   55.6894279k,  -119.804491p,  -795.218724p,   675.414233p,   10.0000000m,   14.8057289M
    423,   55.6898809k,  -118.493218p,  -775.031261p,   656.538043p,   10.0000000m,   15.2314098M
    424,   55.6903329k,  -119.043109p,  -772.781228p,   653.738119p,   10.0000000m,   15.2966451M
    425,   55.6907765k,  -131.309450p,  -810.906231p,   679.596781p,   10.0000000m,   14.7146077M
    426,   55.6912219k,  -127.075381p,  -792.281241p,   665.205859p,   10.0000000m,   15.0329403M
    427,   55.6916588k,  -126.230831p,  -800.812527p,   674.581697p,   10.0000000m,   14.8240014M
    428,   55.6921103k,  -128.996319p,  -806.718747p,   677.722428p,   10.0000000m,   14.7553033M
    429,   55.6925479k,  -138.183700p,  -809.406264p,   671.222564p,   10.0000000m,   14.8981881M
    430,   55.6930009k,  -111.413372p,  -786.375021p,   674.961648p,   10.0000000m,   14.8156566M
    431,   55.6934529k,  -110.784215p,  -767.812480p,   657.028266p,   10.0000000m,   15.2200454M
    432,   55.6938965k,  -123.034470p,  -791.843757p,   668.809287p,   10.0000000m,   14.9519455M
    433,   55.6943419k,  -113.616395p,  -771.687492p,   658.071097p,   10.0000000m,   15.1959265M
    434,   55.6947789k,  -119.751806p,  -776.437525p,   656.685720p,   10.0000000m,   15.2279846M
    435,   55.6952309k,  -111.014398p,  -769.781239p,   658.766841p,   10.0000000m,   15.1798776M
    436,   55.6956679k,  -124.517005p,  -794.656230p,   670.139225p,   10.0000000m,   14.9222723M
    437,   55.6961203k,  -123.023855p,  -787.906240p,   664.882386p,   10.0000000m,   15.0402541M
    438,   55.6965728k,  -126.589524p,  -797.406252p,   670.816728p,   10.0000000m,   14.9072013M
    439,   55.6970175k,  -132.784436p,  -792.968746p,   660.184310p,   10.0000000m,   15.1472852M
    440,   55.6974619k,  -132.060591p,  -788.468735p,   656.408143p,   10.0000000m,   15.2344240M
    441,   55.6978988k,  -136.761484p,  -802.375000p,   665.613515p,   10.0000000m,   15.0237334M
    442,   55.6983519k,  -188.027194p,  -792.593768p,   604.566574p,   10.0000000m,   16.5407755M
    443,   55.6987879k,  -121.204249p,  -791.781252p,   670.577003p,   10.0000000m,   14.9125305M
    444,   55.6992409k,  -164.774502p,  -797.531263p,   632.756761p,   10.0000000m,   15.8038612M
    445,   55.6996929k,  -128.875204p,  -785.562504p,   656.687300p,   10.0000000m,   15.2279479M
    446,   55.7001383k,  -122.302054p,  -780.125020p,   657.822966p,   10.0000000m,   15.2016584M
    447,   55.7005819k,  -125.306740p,  -784.031229p,   658.724489p,   10.0000000m,   15.1808536M
    448,   55.7010189k,  -116.699989p,  -798.843769p,   682.143779p,   10.0000000m,   14.6596660M
    449,   55.7014719k,  -119.062925p,  -764.312502p,   645.249577p,   10.0000000m,   15.4978792M
    450,   55.7019079k,  -116.725991p,  -783.593745p,   666.867754p,   10.0000000m,   14.9954769M
    451,   55.7023609k,  -113.921841p,  -789.593724p,   675.671883p,   10.0000000m,   14.8000831M
    452,   55.7027979k,  -120.404358p,  -785.062515p,   664.658157p,   10.0000000m,   15.0453280M
    453,   55.7032339k,  -125.816930p,  -799.656230p,   673.839300p,   10.0000000m,   14.8403336M
    454,   55.7036709k,  -120.331311p,  -798.218769p,   677.887458p,   10.0000000m,   14.7517112M
    455,   55.7041073k,  -114.807030p,  -788.781263p,   673.974232p,   10.0000000m,   14.8373625M
    456,   55.7045449k,  -119.231154p,  -777.999998p,   658.768844p,   10.0000000m,   15.1798314M
    457,   55.7049819k,  -112.049141p,  -775.374986p,   663.325845p,   10.0000000m,   15.0755471M
    458,   55.7054179k,  -120.946360p,  -788.499988p,   667.553627p,   10.0000000m,   14.9800699M
    459,   55.7058548k,  -119.953874p,  -910.562514p,   790.608640p,   10.0000000m,   12.6484831M
    460,   55.7062919k,  -122.872665p,  -798.687505p,   675.814840p,   10.0000000m,   14.7969524M
    461,   55.7067289k,  -128.301628p,  -801.125000p,   672.823371p,   10.0000000m,   14.8627417M
    462,   55.7071653k,  -123.099543p,  -780.593756p,   657.494213p,   10.0000000m,   15.2092593M
    463,   55.7076019k,  -112.677106p,  -777.687525p,   665.010420p,   10.0000000m,   15.0373584M
    464,   55.7080389k,  -124.478683p,  -787.625021p,   663.146337p,   10.0000000m,   15.0796279M
    465,   55.7084802k,  -125.910765p,  -808.781264p,   682.870499p,   10.0000000m,   14.6440650M
    466,   55.7089279k,  -127.435114p,  -798.468736p,   671.033622p,   10.0000000m,   14.9023829M
    467,   55.7093809k,  -117.190226p,  -799.031230p,   681.841004p,   10.0000000m,   14.6661758M
    468,   55.7098179k,  -124.136637p,  -793.531241p,   669.394603p,   10.0000000m,   14.9388716M
    469,   55.7102539k,  -108.067322p,  -772.437503p,   664.370181p,   10.0000000m,   15.0518495M
    470,   55.7106909k,  -116.758945p,  -786.906262p,   670.147317p,   10.0000000m,   14.9220921M
    471,   55.7111273k,  -121.077477p,  -798.906274p,   677.828797p,   10.0000000m,   14.7529878M
    472,   55.7115649k,  -223.323746p,  -931.374977p,   708.051231p,   10.0000000m,   14.1232718M
    473,   55.7120019k,  -407.493968p,  -1.02400000n,   616.506028p,   10.0000000m,   16.2204416M
    474,   55.7124379k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    475,   55.7128749k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    476,   55.7133119k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    477,   55.7137489k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    478,   55.7142009k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    479,   55.7146379k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    480,   55.7150893k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    481,   55.7155429k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    482,   55.7159865k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    483,   55.7164319k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    484,   55.7168689k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    485,   55.7173209k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    486,   55.7177579k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    487,   55.7182099k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    488,   55.7186629k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    489,   55.7191056k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    490,   55.7195519k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    491,   55.7199889k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    492,   55.7204409k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    493,   55.7208778k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    494,   55.7213299k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    495,   55.7217829k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    496,   55.7222260k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    497,   55.7226719k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    498,   55.7231083k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    499,   55.7235609k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    500,   55.7239979k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    501,   55.7244499k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    502,   55.7249029k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    503,   55.7253465k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    504,   55.7257919k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    505,   55.7262289k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    506,   55.7266809k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    507,   55.7271172k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    508,   55.7275709k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    509,   55.7280229k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    510,   55.7284666k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    511,   55.7289119k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    512,   55.7293484k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    513,   55.7298008k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
    514,   55.7302363k,  -1.02400000n,  -1.02400000n,    0.00000000,   10.0000000m,           INF
Sweep #,     R_time[s],       Mean[A],        Min[A],         a2-b3,      Constant,         a5/b4
      1,   55.9080934k,  -597.004004p,  -1.02400000n,   426.995991p,   10.0000000m,   23.4194236M
      2,   55.9085319k,  -596.536481p,  -1.02400000n,   427.463514p,   10.0000000m,   23.3938094M
      3,   55.9089679k,  -592.909573p,  -1.02400000n,   431.090423p,   10.0000000m,   23.1969895M
      4,   55.9094049k,  -599.254413p,  -1.02400000n,   424.745582p,   10.0000000m,   23.5435056M
      5,   55.9098419k,  -599.279854p,  -1.02400000n,   424.720142p,   10.0000000m,   23.5449158M
      6,   55.9102789k,  -603.244974p,  -1.02400000n,   420.755022p,   10.0000000m,   23.7667989M
      7,   55.9107159k,  -619.882769p,  -1.02400000n,   404.117226p,   10.0000000m,   24.7452950M
      8,   55.9111512k,  -617.992827p,  -1.02400000n,   406.007169p,   10.0000000m,   24.6301070M
      9,   55.9115889k,  -630.907409p,  -1.02400000n,   393.092587p,   10.0000000m,   25.4392994M
     10,   55.9120259k,  -646.704369p,  -1.02400000n,   377.295627p,   10.0000000m,   26.5044153M
     11,   55.9124629k,  -655.502454p,  -1.02400000n,   368.497542p,   10.0000000m,   27.1372231M
     12,   55.9128999k,  -652.247478p,  -1.02400000n,   371.752518p,   10.0000000m,   26.8996160M
     13,   55.9133359k,  -645.424055p,  -1.02400000n,   378.575941p,   10.0000000m,   26.4147795M
     14,   55.9137729k,  -639.575228p,  -1.02400000n,   384.424768p,   10.0000000m,   26.0128921M
     15,   55.9142099k,  -655.617383p,  -1.02400000n,   368.382613p,   10.0000000m,   27.1456894M
     16,   55.9146469k,  -672.675062p,  -1.02400000n,   351.324934p,   10.0000000m,   28.4636786M
     17,   55.9150833k,  -679.866259p,  -1.02400000n,   344.133737p,   10.0000000m,   29.0584704M
     18,   55.9155209k,  -684.340836p,  -1.02400000n,   339.659160p,   10.0000000m,   29.4412787M
     19,   55.9159729k,  -653.221919p,  -1.02400000n,   370.778077p,   10.0000000m,   26.9703109M
     20,   55.9164171k,  -649.761944p,  -1.02400000n,   374.238051p,   10.0000000m,   26.7209600M
     21,   55.9168615k,  -657.990527p,  -1.02400000n,   366.009469p,   10.0000000m,   27.3216975M
     22,   55.9172989k,  -669.971051p,  -1.02400000n,   354.028945p,   10.0000000m,   28.2462780M
     23,   55.9177359k,  -670.760242p,  -1.02400000n,   353.239754p,   10.0000000m,   28.3093844M
     24,   55.9181729k,  -681.008894p,  -1.02400000n,   342.991102p,   10.0000000m,   29.1552753M
     25,   55.9186089k,  -683.571343p,  -1.02400000n,   340.428652p,   10.0000000m,   29.3747307M
     26,   55.9190619k,  -685.475037p,  -1.02400000n,   338.524959p,   10.0000000m,   29.5399194M
     27,   55.9194988k,  -687.314579p,  -1.02400000n,   336.685417p,   10.0000000m,   29.7013161M
     28,   55.9199509k,  -670.820798p,  -1.02400000n,   353.179198p,   10.0000000m,   28.3142384M
     29,   55.9204029k,  -668.386570p,  -1.02400000n,   355.613426p,   10.0000000m,   28.1204231M
     30,   55.9208478k,  -652.206686p,  -1.02400000n,   371.793310p,   10.0000000m,   26.8966647M
     31,   55.9212929k,  -654.753937p,  -1.02400000n,   369.246059p,   10.0000000m,   27.0822119M
     32,   55.9217289k,  -638.564033p,  -1.02400000n,   385.435963p,   10.0000000m,   25.9446470M
     33,   55.9221819k,  -633.192527p,  -1.02400000n,   390.807469p,   10.0000000m,   25.5880473M
     34,   55.9226189k,  -646.692066p,  -1.02400000n,   377.307929p,   10.0000000m,   26.5035511M
     35,   55.9230709k,  -664.577393p,  -1.02400000n,   359.422603p,   10.0000000m,   27.8224016M
     36,   55.9235229k,  -660.084992p,  -1.02400000n,   363.915004p,   10.0000000m,   27.4789440M
     37,   55.9239679k,  -653.667563p,  -1.02400000n,   370.332433p,   10.0000000m,   27.0027659M
     38,   55.9244129k,  -675.507412p,  -1.02400000n,   348.492584p,   10.0000000m,   28.6950152M
     39,   55.9248489k,  -687.231922p,  -1.02400000n,   336.768074p,   10.0000000m,   29.6940262M
     40,   55.9253019k,  -688.651684p,  -1.02400000n,   335.348312p,   10.0000000m,   29.8197415M
     41,   55.9257388k,  -687.434501p,  -1.02400000n,   336.565495p,   10.0000000m,   29.7118991M
     42,   55.9261909k,  -693.385735p,  -1.02400000n,   330.614261p,   10.0000000m,   30.2467291M
     43,   55.9266429k,  -701.770533p,  -1.02400000n,   322.229463p,   10.0000000m,   31.0337854M
     44,   55.9270869k,  -744.334225p,  -1.02400000n,   279.665771p,   10.0000000m,   35.7569679M
     45,   55.9275329k,  -762.427362p,  -1.02400000n,   261.572634p,   10.0000000m,   38.2302989M
     46,   55.9279689k,  -765.828466p,  -1.02400000n,   258.171530p,   10.0000000m,   38.7339379M
     47,   55.9284219k,  -794.042769p,  -1.02400000n,   229.957227p,   10.0000000m,   43.4863479M
     48,   55.9288589k,  -788.764620p,  -1.02400000n,   235.235376p,   10.0000000m,   42.5106129M
     49,   55.9293109k,  -786.833663p,  -1.02400000n,   237.166333p,   10.0000000m,   42.1645006M
     50,   55.9297629k,  -796.863227p,  -1.02400000n,   227.136769p,   10.0000000m,   44.0263373M
     51,   55.9302074k,  -814.647832p,  -1.02400000n,   209.352164p,   10.0000000m,   47.7664039M
     52,   55.9306529k,  -808.555804p,  -1.02400000n,   215.444192p,   10.0000000m,   46.4157326M
     53,   55.9310883k,  -813.053895p,  -1.02400000n,   210.946101p,   10.0000000m,   47.4054744M
     54,   55.9315419k,  -797.443549p,  -1.02400000n,   226.556446p,   10.0000000m,   44.1391104M
     55,   55.9319789k,  -794.268965p,  -1.02400000n,   229.731031p,   10.0000000m,   43.5291652M
     56,   55.9324309k,  -797.183411p,  -1.02400000n,   226.816585p,   10.0000000m,   44.0884867M
     57,   55.9328829k,  -810.054082p,  -1.02400000n,   213.945914p,   10.0000000m,   46.7407852M
     58,   55.9333278k,  -815.131901p,  -1.02400000n,   208.868095p,   10.0000000m,   47.8771064M
     59,   55.9337729k,  -817.873467p,  -1.02400000n,   206.126529p,   10.0000000m,   48.5138911M
     60,   55.9342089k,  -820.156353p,  -1.02400000n,   203.843643p,   10.0000000m,   49.0572079M
     61,   55.9346619k,  -824.878766p,  -1.02400000n,   199.121230p,   10.0000000m,   50.2206621M
     62,   55.9350973k,  -830.081006p,  -1.02400000n,   193.918990p,   10.0000000m,   51.5679253M
