
Sweep #,       Time[s],        SweepC,       Mean[V],         a4-b5
     80,   52.6136168k,  -101.226264p,  -650.843768p,   549.617503p,   10.0000000m,   18.1944715M
     81,   52.6140699k,  -103.925504p,  -647.625009p,   543.699505p,   10.0000000m,   18.3925126M
     82,   52.6145213k,  -102.134491p,  -650.031251p,   547.896760p,   10.0000000m,   18.2516137M
     83,   52.6149663k,  -97.6711593p,  -663.812505p,   566.141346p,   10.0000000m,   17.6634335M
     84,   52.6154109k,  -115.872853p,  -680.125012p,   564.252159p,   10.0000000m,   17.7225729M
     85,   52.6158479k,  -104.873313p,  -671.593725p,   566.720412p,   10.0000000m,   17.6453853M
     86,   52.6163009k,  -105.218205p,  -662.406241p,   557.188036p,   10.0000000m,   17.9472626M
     87,   52.6167369k,  -105.886399p,  -682.968737p,   577.082338p,   10.0000000m,   17.3285497M
     88,   52.6171899k,  -128.041507p,  -682.843726p,   554.802219p,   10.0000000m,   18.0244413M
     89,   52.6176419k,  -119.810438p,  -689.906243p,   570.095805p,   10.0000000m,   17.5409114M
     90,   52.6180870k,  -124.544131p,  -682.093770p,   557.549639p,   10.0000000m,   17.9356228M
     91,   52.6185313k,  -121.696189p,  -712.187476p,   590.491286p,   10.0000000m,   16.9350509M
     92,   52.6189679k,  -110.163577p,  -695.499991p,   585.336414p,   10.0000000m,   17.0841925M
     93,   52.6194209k,  -110.672079p,  -717.031268p,   606.359188p,   10.0000000m,   16.4918751M
     94,   52.6198578k,  -109.935864p,  -685.750012p,   575.814148p,   10.0000000m,   17.3667146M
     95,   52.6203099k,  -116.969363p,  -693.218760p,   576.249397p,   10.0000000m,   17.3535973M
     96,   52.6207619k,  -118.128561p,  -698.250013p,   580.121453p,   10.0000000m,   17.2377697M
     97,   52.6212069k,  -121.497801p,  -703.218761p,   581.720960p,   10.0000000m,   17.1903725M
     98,   52.6216519k,  -126.904852p,  -698.750002p,   571.845150p,   10.0000000m,   17.4872516M
     99,   52.6220879k,  -135.016119p,  -719.312498p,   584.296379p,   10.0000000m,   17.1146020M
    100,   52.6225403k,  -115.953977p,  -693.781255p,   577.827278p,   10.0000000m,   17.3062096M
    101,   52.6229779k,  -121.808870p,  -694.781233p,   572.972362p,   10.0000000m,   17.4528488M
    102,   52.6234299k,  -117.404733p,  -691.531277p,   574.126544p,   10.0000000m,   17.4177629M
    103,   52.6238819k,  -108.150746p,  -678.718748p,   570.568002p,   10.0000000m,   17.5263947M
    104,   52.6243266k,  -109.218051p,  -679.375001p,   570.156949p,   10.0000000m,   17.5390303M
    105,   52.6247719k,  -103.006288p,  -672.906231p,   569.899943p,   10.0000000m,   17.5469398M
    106,   52.6252079k,  -106.047983p,  -685.968726p,   579.920744p,   10.0000000m,   17.2437356M
    107,   52.6256609k,  -91.9666712p,  -684.187484p,   592.220813p,   10.0000000m,   16.8855936M
    108,   52.6260978k,  -100.644663p,  -687.031265p,   586.386602p,   10.0000000m,   17.0535956M
    109,   52.6265493k,  -104.537776p,  -672.031264p,   567.493488p,   10.0000000m,   17.6213476M
    110,   52.6269869k,  -106.877317p,  -700.625002p,   593.747685p,   10.0000000m,   16.8421709M
    111,   52.6274239k,  -101.648804p,  -677.249978p,   575.601174p,   10.0000000m,   17.3731404M
    112,   52.6278599k,  -107.379294p,  -669.000022p,   561.620728p,   10.0000000m,   17.8056106M
    113,   52.6282969k,  -98.9734869p,  -677.343737p,   578.370250p,   10.0000000m,   17.2899626M
    114,   52.6287339k,  -101.114708p,  -676.031231p,   574.916523p,   10.0000000m,   17.3938295M
