

GROUP_1	    5

SERIES_1_1	 "IVCC-I"	  ""	 07-Mar-2019	 15:26:21.967
EPC10/2-1	 C-Clamp	  0.0000 	  10.000m	  7.3014k	  6.4496p	  9.1968p
EPC10/2-2	 V-Clamp	  0.0000 	  1.0000m	  2.8735k	  0.0000 	  1.0000p
Sweep #	 R_time[s]	   Mean[V]	    Min[V]	     a2-b3	  Constant	     a5/b4
    126	   55.666k	  -56.919p	  -459.50p	   402.58p	   10.000m	   24.840M
    127	   55.666k	  -65.213p	  -460.78p	   395.57p	   10.000m	   25.280M
    128	   55.667k	  -56.176p	  -451.97p	   395.79p	   10.000m	   25.266M
    129	   55.667k	  -62.466p	  -451.88p	   389.41p	   10.000m	   25.680M
    130	   55.668k	  -55.344p	  -451.41p	   396.06p	   10.000m	   25.249M
    131	   55.668k	  -54.728p	  -447.94p	   393.21p	   10.000m	   25.432M
    132	   55.669k	  -66.204p	  -451.75p	   385.55p	   10.000m	   25.937M
    133	   55.669k	  -55.735p	  -447.91p	   392.17p	   10.000m	   25.499M
    134	   55.670k	  -147.68p	  -452.97p	   305.29p	   10.000m	   32.756M
    135	   55.670k	  -57.724p	  -454.22p	   396.50p	   10.000m	   25.221M
    136	   55.670k	  -59.864p	  -443.44p	   383.57p	   10.000m	   26.071M
    137	   55.671k	  -52.469p	  -453.50p	   401.03p	   10.000m	   24.936M
    138	   55.671k	  -53.487p	  -448.84p	   395.36p	   10.000m	   25.294M
    139	   55.672k	  -60.424p	  -449.22p	   388.80p	   10.000m	   25.720M
    140	   55.672k	  -57.724p	  -436.06p	   378.34p	   10.000m	   26.431M
    141	   55.673k	  -59.793p	  -446.31p	   386.52p	   10.000m	   25.872M
    142	   55.673k	  -55.278p	  -435.12p	   379.85p	   10.000m	   26.326M
    143	   55.673k	  -54.682p	  -429.94p	   375.26p	   10.000m	   26.649M
    144	   55.674k	  -59.503p	  -433.34p	   373.84p	   10.000m	   26.749M
    145	   55.674k	  -59.971p	  -446.81p	   386.84p	   10.000m	   25.850M
    146	   55.675k	  -58.252p	  -437.09p	   378.84p	   10.000m	   26.396M
    147	   55.675k	  -56.903p	  -433.87p	   376.97p	   10.000m	   26.527M
    148	   55.676k	  -57.388p	  -431.25p	   373.86p	   10.000m	   26.748M
    149	   55.676k	  -52.814p	  -433.06p	   380.25p	   10.000m	   26.299M
    150	   55.677k	  -73.705p	  -449.84p	   376.14p	   10.000m	   26.586M
    151	   55.677k	  -55.728p	  -430.53p	   374.80p	   10.000m	   26.681M
    152	   55.677k	  -51.145p	  -439.53p	   388.39p	   10.000m	   25.748M
    153	   55.678k	  -56.554p	  -431.53p	   374.98p	   10.000m	   26.668M
    154	   55.678k	  -54.305p	  -436.22p	   381.91p	   10.000m	   26.184M
    155	   55.679k	  -56.788p	  -432.13p	   375.34p	   10.000m	   26.643M
    156	   55.679k	  -54.328p	  -431.19p	   376.86p	   10.000m	   26.535M
    157	   55.680k	  -52.698p	  -443.50p	   390.80p	   10.000m	   25.588M
    158	   55.680k	  -51.723p	  -436.81p	   385.09p	   10.000m	   25.968M
    159	   55.680k	  -55.041p	  -438.09p	   383.05p	   10.000m	   26.106M
    160	   55.681k	  -53.114p	  -431.84p	   378.73p	   10.000m	   26.404M
    161	   55.681k	  -59.031p	  -431.22p	   372.19p	   10.000m	   26.868M
    162	   55.682k	  -62.862p	  -442.00p	   379.14p	   10.000m	   26.376M
    163	   55.682k	  -53.629p	  -436.56p	   382.93p	   10.000m	   26.114M
    164	   55.683k	  -163.15p	  -451.06p	   287.91p	   10.000m	   34.733M
    165	   55.683k	  -63.787p	  -437.19p	   373.40p	   10.000m	   26.781M
    166	   55.684k	  -58.993p	  -442.28p	   383.29p	   10.000m	   26.090M
    167	   55.684k	  -60.707p	  -439.06p	   378.36p	   10.000m	   26.430M
    168	   55.684k	  -58.484p	  -435.31p	   376.83p	   10.000m	   26.537M
    169	   55.685k	  -56.338p	  -429.56p	   373.22p	   10.000m	   26.794M
