

GROUP_1	    5

SERIES_1_1	 "IVCC-I"	  ""	 07-Mar-2019	 15:26:21.967
EPC10/2-1	 C-Clamp	  0.0000 	  10.000m	  7.3014k	  6.4496p	  9.1968p
EPC10/2-2	 V-Clamp	  0.0000 	  1.0000m	  2.8735k	  0.0000 	  1.0000p
Sweep #	 R_time[s]	   Mean[V]	    Min[V]	     a2-b3	  Constant	     a5/b4
    637	   55.890k	  -76.270p	  -436.25p	   359.98p	   10.000m	   27.779M
    638	   55.890k	  -66.866p	  -419.56p	   352.70p	   10.000m	   28.353M
    639	   55.890k	  -60.933p	  -413.34p	   352.41p	   10.000m	   28.376M
    640	   55.891k	  -56.593p	  -418.78p	   362.19p	   10.000m	   27.610M
    641	   55.891k	  -58.473p	  -425.59p	   367.12p	   10.000m	   27.239M
    642	   55.892k	  -63.821p	  -425.03p	   361.21p	   10.000m	   27.685M
    643	   55.892k	  -54.899p	  -404.50p	   349.60p	   10.000m	   28.604M
    644	   55.893k	  -84.254p	  -432.03p	   347.78p	   10.000m	   28.754M
    645	   55.893k	  -62.590p	  -415.03p	   352.44p	   10.000m	   28.374M
    646	   55.894k	  -66.882p	  -413.91p	   347.02p	   10.000m	   28.816M
    647	   55.894k	  -64.759p	  -422.19p	   357.43p	   10.000m	   27.978M
    648	   55.894k	  -74.310p	  -430.41p	   356.10p	   10.000m	   28.082M
    649	   55.895k	  -67.093p	  -426.34p	   359.25p	   10.000m	   27.836M
    650	   55.895k	  -63.430p	  -423.06p	   359.63p	   10.000m	   27.806M
    651	   55.896k	  -62.868p	  -421.75p	   358.88p	   10.000m	   27.864M
    652	   55.896k	  -63.288p	  -424.66p	   361.37p	   10.000m	   27.673M
    653	   55.897k	  -271.84p	  -542.13p	   270.28p	   10.000m	   36.998M
    654	   55.897k	  -64.493p	  -423.31p	   358.82p	   10.000m	   27.869M
    655	   55.897k	  -67.776p	  -412.41p	   344.63p	   10.000m	   29.017M
    656	   55.898k	  -71.104p	  -418.25p	   347.15p	   10.000m	   28.806M
    657	   55.898k	  -62.326p	  -415.50p	   353.17p	   10.000m	   28.315M
    658	   55.899k	  -69.974p	  -423.72p	   353.74p	   10.000m	   28.269M
    659	   55.899k	  -68.065p	  -405.56p	   337.50p	   10.000m	   29.630M
    660	   55.900k	  -60.853p	  -411.31p	   350.46p	   10.000m	   28.534M
    661	   55.900k	  -75.937p	  -420.09p	   344.16p	   10.000m	   29.057M
    662	   55.901k	  -184.46p	  -430.91p	   246.44p	   10.000m	   40.577M
    663	   55.901k	  -66.401p	  -418.28p	   351.88p	   10.000m	   28.419M
    664	   55.901k	  -67.151p	  -413.62p	   346.47p	   10.000m	   28.862M
    665	   55.902k	  -64.775p	  -425.31p	   360.54p	   10.000m	   27.736M
    666	   55.902k	  -74.085p	  -419.47p	   345.38p	   10.000m	   28.953M
    667	   55.903k	  -58.725p	  -410.53p	   351.81p	   10.000m	   28.425M
    668	   55.903k	  -64.306p	  -419.59p	   355.29p	   10.000m	   28.146M
    669	   55.904k	  -58.780p	  -415.53p	   356.75p	   10.000m	   28.031M
    670	   55.904k	  -63.585p	  -420.91p	   357.32p	   10.000m	   27.986M
    671	   55.904k	  -63.601p	  -423.97p	   360.37p	   10.000m	   27.749M
    672	   55.905k	  -57.700p	  -416.34p	   358.64p	   10.000m	   27.883M
    673	   55.905k	  -67.270p	  -417.41p	   350.14p	   10.000m	   28.560M
    674	   55.906k	  -59.287p	  -412.94p	   353.65p	   10.000m	   28.276M
    675	   55.906k	  -56.793p	  -409.38p	   352.58p	   10.000m	   28.362M
    676	   55.907k	  -52.972p	  -408.56p	   355.59p	   10.000m	   28.122M
    677	   55.907k	  -59.786p	  -419.34p	   359.56p	   10.000m	   27.812M
    678	   55.908k	  -58.509p	  -422.13p	   363.62p	   10.000m	   27.502M
    679	   55.908k	  -63.949p	  -424.97p	   361.02p	   10.000m	   27.699M
    680	   55.908k	  -61.740p	  -414.19p	   352.45p	   10.000m	   28.373M
    681	   55.909k	  -60.221p	  -406.16p	   345.94p	   10.000m	   28.907M
    682	   55.909k	  -55.168p	  -407.78p	   352.61p	   10.000m	   28.360M
    683	   55.910k	  -64.176p	  -415.47p	   351.29p	   10.000m	   28.466M
    684	   55.910k	  -61.453p	  -420.88p	   359.42p	   10.000m	   27.822M
    685	   55.911k	  -58.036p	  -421.53p	   363.50p	   10.000m	   27.511M
    686	   55.911k	  -60.220p	  -416.84p	   356.62p	   10.000m	   28.041M
    687	   55.911k	  -57.293p	  -417.00p	   359.71p	   10.000m	   27.800M
    688	   55.912k	  -58.056p	  -417.47p	   359.41p	   10.000m	   27.823M
    689	   55.912k	  -57.917p	  -418.50p	   360.58p	   10.000m	   27.733M
    690	   55.913k	  -61.922p	  -422.31p	   360.39p	   10.000m	   27.748M
    691	   55.913k	  -61.297p	  -418.56p	   357.27p	   10.000m	   27.990M
    692	   55.914k	  -57.839p	  -411.69p	   353.85p	   10.000m	   28.261M
    693	   55.914k	  -75.300p	  -404.00p	   328.70p	   10.000m	   30.423M
    694	   55.915k	  -67.839p	  -416.53p	   348.69p	   10.000m	   28.679M
    695	   55.915k	  -69.601p	  -424.41p	   354.81p	   10.000m	   28.184M
    696	   55.915k	  -69.425p	  -416.88p	   347.45p	   10.000m	   28.781M
    697	   55.916k	  -60.903p	  -411.56p	   350.66p	   10.000m	   28.518M
    698	   55.916k	  -55.472p	  -411.37p	   355.90p	   10.000m	   28.098M
    699	   55.917k	  -62.866p	  -422.53p	   359.66p	   10.000m	   27.804M
    700	   55.917k	  -59.499p	  -414.16p	   354.66p	   10.000m	   28.196M
    701	   55.918k	  -60.416p	  -406.56p	   346.15p	   10.000m	   28.890M
    702	   55.918k	  -61.150p	  -424.44p	   363.29p	   10.000m	   27.526M
    703	   55.918k	  -62.163p	  -424.69p	   362.52p	   10.000m	   27.584M
    704	   55.919k	  -68.415p	  -414.09p	   345.68p	   10.000m	   28.929M
    705	   55.919k	  -54.455p	  -401.06p	   346.61p	   10.000m	   28.851M
    706	   55.920k	  -65.304p	  -404.91p	   339.60p	   10.000m	   29.446M
    707	   55.920k	  -57.063p	  -399.19p	   342.12p	   10.000m	   29.229M
    708	   55.921k	  -136.47p	  -415.78p	   279.31p	   10.000m	   35.803M
    709	   55.921k	  -58.519p	  -400.97p	   342.45p	   10.000m	   29.201M
    710	   55.922k	  -62.546p	  -410.03p	   347.49p	   10.000m	   28.778M
    711	   55.922k	  -60.808p	  -411.53p	   350.72p	   10.000m	   28.513M
    712	   55.922k	  -62.797p	  -413.19p	   350.39p	   10.000m	   28.540M
    713	   55.923k	  -54.695p	  -400.72p	   346.02p	   10.000m	   28.900M
    714	   55.923k	  -61.706p	  -405.75p	   344.04p	   10.000m	   29.066M
    715	   55.924k	  -60.072p	  -405.31p	   345.24p	   10.000m	   28.965M
    716	   55.924k	  -65.033p	  -407.41p	   342.37p	   10.000m	   29.208M
    717	   55.925k	  -56.221p	  -407.31p	   351.09p	   10.000m	   28.483M
    718	   55.925k	  -62.417p	  -418.09p	   355.68p	   10.000m	   28.115M
    719	   55.925k	  -61.056p	  -406.34p	   345.29p	   10.000m	   28.961M
    720	   55.926k	  -69.998p	  -418.47p	   348.47p	   10.000m	   28.697M
    721	   55.926k	  -68.719p	  -413.69p	   344.97p	   10.000m	   28.988M
    722	   55.927k	  -72.210p	  -420.03p	   347.82p	   10.000m	   28.750M
    723	   55.927k	  -62.023p	  -411.00p	   348.98p	   10.000m	   28.655M
    724	   55.928k	  -65.470p	  -409.00p	   343.53p	   10.000m	   29.110M
    725	   55.928k	  -63.555p	  -396.00p	   332.44p	   10.000m	   30.080M
    726	   55.929k	  -63.655p	  -400.56p	   336.91p	   10.000m	   29.682M
    727	   55.929k	  -63.174p	  -400.47p	   337.29p	   10.000m	   29.648M
    728	   55.929k	  -57.868p	  -407.41p	   349.54p	   10.000m	   28.609M
    729	   55.930k	  -64.190p	  -400.12p	   335.93p	   10.000m	   29.768M
    730	   55.930k	  -53.888p	  -399.41p	   345.52p	   10.000m	   28.942M
    731	   55.931k	  -61.393p	  -408.28p	   346.89p	   10.000m	   28.828M
    732	   55.931k	  -59.146p	  -401.94p	   342.79p	   10.000m	   29.172M
    733	   55.932k	  -57.869p	  -397.31p	   339.44p	   10.000m	   29.460M
    734	   55.932k	  -63.355p	  -402.75p	   339.39p	   10.000m	   29.464M
    735	   55.932k	  -60.509p	  -396.00p	   335.49p	   10.000m	   29.807M
    736	   55.933k	  -58.912p	  -392.84p	   333.93p	   10.000m	   29.946M
    737	   55.933k	  -56.320p	  -398.84p	   342.52p	   10.000m	   29.195M
    738	   55.934k	  -64.733p	  -403.13p	   338.39p	   10.000m	   29.552M
    739	   55.934k	  -56.475p	  -397.12p	   340.65p	   10.000m	   29.356M
    740	   55.935k	  -52.618p	  -397.62p	   345.01p	   10.000m	   28.985M
    741	   55.935k	  -130.08p	  -450.34p	   320.27p	   10.000m	   31.224M
    742	   55.936k	  -59.675p	  -395.44p	   335.76p	   10.000m	   29.783M
    743	   55.936k	  -57.050p	  -387.91p	   330.86p	   10.000m	   30.225M
    744	   55.936k	  -59.956p	  -403.38p	   343.42p	   10.000m	   29.119M
    745	   55.937k	  -59.094p	  -383.94p	   324.84p	   10.000m	   30.784M
    746	   55.937k	  -57.429p	  -393.50p	   336.07p	   10.000m	   29.756M
    747	   55.938k	  -56.844p	  -397.75p	   340.91p	   10.000m	   29.334M
    748	   55.938k	  -60.468p	  -397.41p	   336.94p	   10.000m	   29.679M
    749	   55.939k	  -55.291p	  -399.09p	   343.80p	   10.000m	   29.086M
    750	   55.939k	  -61.986p	  -398.44p	   336.45p	   10.000m	   29.722M
    751	   55.939k	  -53.255p	  -399.97p	   346.71p	   10.000m	   28.842M
    752	   55.940k	  -62.375p	  -388.25p	   325.87p	   10.000m	   30.687M
    753	   55.940k	  -56.321p	  -401.22p	   344.90p	   10.000m	   28.994M
    754	   55.941k	  -59.065p	  -402.22p	   343.15p	   10.000m	   29.141M
    755	   55.941k	  -60.867p	  -408.44p	   347.57p	   10.000m	   28.771M
    756	   55.942k	  -59.273p	  -391.56p	   332.29p	   10.000m	   30.094M
    757	   55.942k	  -55.445p	  -395.56p	   340.12p	   10.000m	   29.402M
    758	   55.943k	  -61.644p	  -392.28p	   330.64p	   10.000m	   30.245M
    759	   55.943k	  -62.162p	  -406.19p	   344.03p	   10.000m	   29.068M
    760	   55.943k	  -60.212p	  -398.16p	   337.94p	   10.000m	   29.591M
    761	   55.944k	  -63.848p	  -403.81p	   339.96p	   10.000m	   29.415M
    762	   55.944k	  -59.593p	  -405.63p	   346.03p	   10.000m	   28.899M
    763	   55.945k	  -64.698p	  -394.41p	   329.71p	   10.000m	   30.330M
    764	   55.945k	  -56.959p	  -399.19p	   342.23p	   10.000m	   29.220M
    765	   55.946k	  -54.634p	  -395.72p	   341.09p	   10.000m	   29.318M
    766	   55.946k	  -62.331p	  -403.59p	   341.26p	   10.000m	   29.303M
    767	   55.946k	  -71.981p	  -402.69p	   330.71p	   10.000m	   30.238M
    768	   55.947k	  -65.946p	  -400.78p	   334.84p	   10.000m	   29.865M
    769	   55.947k	  -60.689p	  -388.97p	   328.28p	   10.000m	   30.462M
    770	   55.948k	  -53.686p	  -379.59p	   325.91p	   10.000m	   30.684M
    771	   55.948k	  -57.338p	  -387.41p	   330.07p	   10.000m	   30.297M
    772	   55.949k	  -60.788p	  -397.25p	   336.46p	   10.000m	   29.721M
    773	   55.949k	  -69.885p	  -392.62p	   322.74p	   10.000m	   30.985M
    774	   55.950k	  -60.861p	  -394.66p	   333.80p	   10.000m	   29.958M
    775	   55.950k	  -55.373p	  -393.22p	   337.85p	   10.000m	   29.599M
    776	   55.950k	  -56.095p	  -387.94p	   331.84p	   10.000m	   30.135M
    777	   55.951k	  -197.26p	  -504.69p	   307.43p	   10.000m	   32.528M
    778	   55.951k	  -57.206p	  -393.78p	   336.58p	   10.000m	   29.711M
    779	   55.952k	  -61.638p	  -396.37p	   334.74p	   10.000m	   29.874M
    780	   55.952k	  -61.361p	  -385.59p	   324.23p	   10.000m	   30.842M
    781	   55.953k	  -53.810p	  -385.72p	   331.91p	   10.000m	   30.129M
    782	   55.953k	  -54.002p	  -396.88p	   342.87p	   10.000m	   29.165M
    783	   55.953k	  -54.745p	  -379.78p	   325.04p	   10.000m	   30.766M
    784	   55.954k	  -59.523p	  -384.97p	   325.45p	   10.000m	   30.727M
    785	   55.954k	  -51.425p	  -382.56p	   331.14p	   10.000m	   30.199M
    786	   55.955k	  -52.567p	  -384.31p	   331.75p	   10.000m	   30.144M
    787	   55.955k	  -53.634p	  -394.91p	   341.27p	   10.000m	   29.302M
    788	   55.956k	  -49.862p	  -387.62p	   337.76p	   10.000m	   29.607M
    789	   55.956k	  -51.402p	  -388.06p	   336.66p	   10.000m	   29.704M
    790	   55.957k	  -51.885p	  -378.09p	   326.21p	   10.000m	   30.655M
    791	   55.957k	  -56.287p	  -377.94p	   321.65p	   10.000m	   31.090M
    792	   55.957k	  -56.055p	  -383.75p	   327.70p	   10.000m	   30.516M
    793	   55.958k	  -53.706p	  -374.47p	   320.76p	   10.000m	   31.176M
    794	   55.958k	  -52.365p	  -379.03p	   326.67p	   10.000m	   30.612M
    795	   55.959k	  -56.468p	  -384.75p	   328.28p	   10.000m	   30.462M
    796	   55.959k	  -60.566p	  -383.25p	   322.68p	   10.000m	   30.990M
    797	   55.960k	  -53.190p	  -378.59p	   325.40p	   10.000m	   30.731M
    798	   55.960k	  -51.451p	  -381.41p	   329.95p	   10.000m	   30.307M
    799	   55.960k	  -52.386p	  -382.50p	   330.11p	   10.000m	   30.293M
    800	   55.961k	  -54.097p	  -379.97p	   325.87p	   10.000m	   30.687M
    801	   55.961k	  -62.879p	  -390.47p	   327.59p	   10.000m	   30.526M
    802	   55.962k	  -57.224p	  -384.00p	   326.78p	   10.000m	   30.602M
    803	   55.962k	  -58.908p	  -387.44p	   328.53p	   10.000m	   30.439M
    804	   55.963k	  -53.455p	  -384.47p	   331.01p	   10.000m	   30.210M
    805	   55.963k	  -58.043p	  -386.28p	   328.24p	   10.000m	   30.466M
    806	   55.964k	  -55.353p	  -381.28p	   325.93p	   10.000m	   30.682M
    807	   55.964k	  -59.337p	  -386.78p	   327.44p	   10.000m	   30.540M
    808	   55.964k	  -54.913p	  -380.00p	   325.09p	   10.000m	   30.761M
    809	   55.965k	  -57.566p	  -389.06p	   331.50p	   10.000m	   30.166M
    810	   55.965k	  -54.626p	  -379.53p	   324.91p	   10.000m	   30.778M
    811	   55.966k	  -64.659p	  -394.31p	   329.65p	   10.000m	   30.335M
    812	   55.966k	  -54.927p	  -376.66p	   321.73p	   10.000m	   31.082M
    813	   55.967k	  -174.03p	  -416.84p	   242.82p	   10.000m	   41.183M
    814	   55.967k	  -58.057p	  -376.22p	   318.16p	   10.000m	   31.431M
    815	   55.967k	  -54.911p	  -375.34p	   320.43p	   10.000m	   31.208M
    816	   55.968k	  -59.060p	  -383.00p	   323.94p	   10.000m	   30.870M
    817	   55.968k	  -56.835p	  -369.50p	   312.67p	   10.000m	   31.983M
    818	   55.969k	  -54.022p	  -368.34p	   314.32p	   10.000m	   31.815M
    819	   55.969k	  -61.146p	  -378.66p	   317.51p	   10.000m	   31.495M
    820	   55.970k	  -56.595p	  -368.13p	   311.53p	   10.000m	   32.100M
    821	   55.970k	  -57.136p	  -370.72p	   313.58p	   10.000m	   31.890M
    822	   55.971k	  -57.140p	  -372.81p	   315.67p	   10.000m	   31.678M
    823	   55.971k	  -59.608p	  -370.41p	   310.80p	   10.000m	   32.175M
    824	   55.971k	  -53.855p	  -377.81p	   323.96p	   10.000m	   30.868M
    825	   55.972k	  -60.330p	  -380.06p	   319.73p	   10.000m	   31.276M
    826	   55.972k	  -58.799p	  -377.84p	   319.04p	   10.000m	   31.344M
    827	   55.973k	  -57.990p	  -372.44p	   314.45p	   10.000m	   31.802M
    828	   55.973k	  -59.118p	  -379.31p	   320.19p	   10.000m	   31.231M
    829	   55.974k	  -58.399p	  -376.72p	   318.32p	   10.000m	   31.415M
    830	   55.974k	  -55.375p	  -367.84p	   312.47p	   10.000m	   32.003M
    831	   55.974k	  -60.907p	  -383.97p	   323.06p	   10.000m	   30.954M
    832	   55.975k	  -58.846p	  -375.94p	   317.09p	   10.000m	   31.537M
    833	   55.975k	  -59.854p	  -376.97p	   317.11p	   10.000m	   31.534M
    834	   55.976k	  -55.990p	  -373.44p	   317.45p	   10.000m	   31.501M
    835	   55.976k	  -56.098p	  -369.62p	   313.53p	   10.000m	   31.895M
    836	   55.977k	  -51.361p	  -367.78p	   316.42p	   10.000m	   31.604M
    837	   55.977k	  -60.586p	  -376.81p	   316.23p	   10.000m	   31.623M
    838	   55.978k	  -57.629p	  -377.81p	   320.18p	   10.000m	   31.232M
    839	   55.978k	  -55.290p	  -372.41p	   317.12p	   10.000m	   31.534M
    840	   55.978k	  -54.849p	  -364.28p	   309.43p	   10.000m	   32.317M
    841	   55.979k	  -57.090p	  -373.16p	   316.07p	   10.000m	   31.639M
    842	   55.979k	  -57.669p	  -371.53p	   313.86p	   10.000m	   31.861M
    843	   55.980k	  -59.330p	  -368.97p	   309.64p	   10.000m	   32.296M
    844	   55.980k	  -55.927p	  -377.28p	   321.35p	   10.000m	   31.118M
    845	   55.981k	  -58.583p	  -366.09p	   307.51p	   10.000m	   32.519M
    846	   55.981k	  -58.493p	  -364.53p	   306.04p	   10.000m	   32.676M
    847	   55.981k	  -52.770p	  -367.97p	   315.20p	   10.000m	   31.726M
    848	   55.982k	  -63.330p	  -372.91p	   309.58p	   10.000m	   32.302M
    849	   55.982k	  -56.587p	  -371.41p	   314.82p	   10.000m	   31.764M
    850	   55.983k	  -62.279p	  -374.56p	   312.28p	   10.000m	   32.022M
    851	   55.983k	  -58.044p	  -375.81p	   317.77p	   10.000m	   31.469M
    852	   55.984k	  -58.955p	  -371.72p	   312.76p	   10.000m	   31.973M
    853	   55.984k	  -58.931p	  -371.50p	   312.57p	   10.000m	   31.993M
    854	   55.985k	  -58.449p	  -364.50p	   306.05p	   10.000m	   32.674M
    855	   55.985k	  -56.882p	  -360.13p	   303.24p	   10.000m	   32.977M
    856	   55.985k	  -54.238p	  -358.75p	   304.51p	   10.000m	   32.839M
    857	   55.986k	  -63.126p	  -357.00p	   293.87p	   10.000m	   34.028M
    858	   55.986k	  -59.969p	  -372.28p	   312.31p	   10.000m	   32.019M
    859	   55.987k	  -53.472p	  -358.44p	   304.97p	   10.000m	   32.791M
    860	   55.987k	  -56.885p	  -388.97p	   332.08p	   10.000m	   30.113M
    861	   55.988k	  -53.535p	  -362.37p	   308.84p	   10.000m	   32.379M
    862	   55.988k	  -62.896p	  -354.03p	   291.14p	   10.000m	   34.348M
    863	   55.988k	  -61.562p	  -360.81p	   299.25p	   10.000m	   33.417M
    864	   55.989k	  -50.863p	  -359.62p	   308.76p	   10.000m	   32.387M
    865	   55.989k	  -55.314p	  -356.50p	   301.19p	   10.000m	   33.202M
    866	   55.990k	  -51.941p	  -364.00p	   312.06p	   10.000m	   32.045M
    867	   55.990k	  -51.271p	  -359.16p	   307.89p	   10.000m	   32.480M
    868	   55.991k	  -57.532p	  -358.16p	   300.62p	   10.000m	   33.264M
    869	   55.991k	  -55.759p	  -354.59p	   298.84p	   10.000m	   33.463M
    870	   55.992k	  -54.760p	  -356.81p	   302.05p	   10.000m	   33.107M
    871	   55.992k	  -51.398p	  -354.38p	   302.98p	   10.000m	   33.006M
    872	   55.992k	  -58.264p	  -356.59p	   298.33p	   10.000m	   33.520M
    873	   55.993k	  -57.603p	  -351.69p	   294.08p	   10.000m	   34.004M
    874	   55.993k	  -52.501p	  -357.03p	   304.53p	   10.000m	   32.837M
    875	   55.994k	  -56.247p	  -354.25p	   298.00p	   10.000m	   33.557M
    876	   55.994k	  -53.233p	  -339.31p	   286.08p	   10.000m	   34.955M
    877	   55.995k	  -57.332p	  -360.19p	   302.86p	   10.000m	   33.019M
    878	   55.995k	  -55.215p	  -345.91p	   290.69p	   10.000m	   34.401M
    879	   55.995k	  -57.698p	  -361.94p	   304.24p	   10.000m	   32.869M
    880	   55.996k	  -57.568p	  -353.47p	   295.90p	   10.000m	   33.795M
    881	   55.996k	  -55.385p	  -365.78p	   310.40p	   10.000m	   32.217M
    882	   55.997k	  -54.061p	  -355.63p	   301.56p	   10.000m	   33.160M
    883	   55.997k	  -58.499p	  -356.41p	   297.91p	   10.000m	   33.567M
    884	   55.998k	  -60.204p	  -353.19p	   292.98p	   10.000m	   34.132M
    885	   55.998k	  -75.099p	  -368.47p	   293.37p	   10.000m	   34.087M
    886	   55.999k	  -57.302p	  -356.34p	   299.04p	   10.000m	   33.440M
    887	   55.999k	  -60.883p	  -357.22p	   296.34p	   10.000m	   33.746M
    888	   55.999k	  -59.673p	  -360.03p	   300.36p	   10.000m	   33.294M
    889	   56.000k	  -61.197p	  -360.41p	   299.21p	   10.000m	   33.421M
    890	   56.000k	  -61.014p	  -355.78p	   294.77p	   10.000m	   33.925M
    891	   56.001k	  -55.987p	  -350.75p	   294.76p	   10.000m	   33.926M
    892	   56.001k	  -59.510p	  -350.59p	   291.08p	   10.000m	   34.354M
    893	   56.002k	  -55.130p	  -349.66p	   294.53p	   10.000m	   33.953M
    894	   56.002k	  -54.257p	  -356.88p	   302.62p	   10.000m	   33.045M
    895	   56.002k	  -58.093p	  -352.69p	   294.59p	   10.000m	   33.945M
    896	   56.003k	  -56.263p	  -352.69p	   296.42p	   10.000m	   33.735M
    897	   56.003k	  -60.566p	  -357.09p	   296.53p	   10.000m	   33.724M
    898	   56.004k	  -48.704p	  -349.62p	   300.92p	   10.000m	   33.231M
    899	   56.004k	  -55.113p	  -344.06p	   288.95p	   10.000m	   34.608M
    900	   56.005k	  -56.092p	  -357.06p	   300.97p	   10.000m	   33.226M
    901	   56.005k	  -57.262p	  -351.38p	   294.11p	   10.000m	   34.001M
    902	   56.006k	  -56.438p	  -352.63p	   296.19p	   10.000m	   33.762M
    903	   56.006k	  -52.634p	  -341.16p	   288.52p	   10.000m	   34.659M
    904	   56.006k	  -55.481p	  -354.59p	   299.11p	   10.000m	   33.432M
    905	   56.007k	  -52.951p	  -349.66p	   296.70p	   10.000m	   33.704M
    906	   56.007k	  -56.846p	  -358.41p	   301.56p	   10.000m	   33.161M
    907	   56.008k	  -57.422p	  -340.75p	   283.33p	   10.000m	   35.295M
    908	   56.008k	  -52.919p	  -349.00p	   296.08p	   10.000m	   33.775M
    909	   56.009k	  -57.371p	  -352.75p	   295.38p	   10.000m	   33.855M
    910	   56.009k	  -54.831p	  -339.97p	   285.14p	   10.000m	   35.071M
    911	   56.009k	  -60.508p	  -349.13p	   288.62p	   10.000m	   34.648M
    912	   56.010k	  -51.953p	  -344.00p	   292.05p	   10.000m	   34.241M
    913	   56.010k	  -60.111p	  -346.69p	   286.58p	   10.000m	   34.895M
    914	   56.011k	  -59.858p	  -364.22p	   304.36p	   10.000m	   32.856M
    915	   56.011k	  -63.436p	  -343.84p	   280.41p	   10.000m	   35.662M
    916	   56.012k	  -57.071p	  -346.31p	   289.24p	   10.000m	   34.573M
    917	   56.012k	  -138.53p	  -351.38p	   212.85p	   10.000m	   46.982M
    918	   56.013k	  -62.746p	  -346.66p	   283.91p	   10.000m	   35.222M
    919	   56.013k	  -65.518p	  -348.25p	   282.73p	   10.000m	   35.369M
    920	   56.013k	  -65.858p	  -357.66p	   291.80p	   10.000m	   34.270M
    921	   56.014k	  -64.164p	  -342.94p	   278.77p	   10.000m	   35.871M
    922	   56.014k	  -59.506p	  -343.53p	   284.03p	   10.000m	   35.208M
    923	   56.015k	  -58.070p	  -335.34p	   277.27p	   10.000m	   36.065M
    924	   56.015k	  -56.839p	  -354.06p	   297.22p	   10.000m	   33.645M
    925	   56.016k	  -52.384p	  -336.63p	   284.24p	   10.000m	   35.181M
    926	   56.016k	  -64.257p	  -349.94p	   285.68p	   10.000m	   35.004M
    927	   56.016k	  -59.316p	  -350.06p	   290.75p	   10.000m	   34.394M
    928	   56.017k	  -54.561p	  -342.84p	   288.28p	   10.000m	   34.688M
    929	   56.017k	  -59.974p	  -349.69p	   289.71p	   10.000m	   34.517M
    930	   56.018k	  -56.867p	  -341.34p	   284.48p	   10.000m	   35.152M
    931	   56.018k	  -52.815p	  -337.84p	   285.03p	   10.000m	   35.084M
    932	   56.019k	  -55.377p	  -338.03p	   282.65p	   10.000m	   35.379M
    933	   56.019k	  -56.895p	  -338.56p	   281.67p	   10.000m	   35.503M
    934	   56.020k	  -53.443p	  -340.25p	   286.81p	   10.000m	   34.867M
    935	   56.020k	  -57.662p	  -337.97p	   280.31p	   10.000m	   35.675M
    936	   56.020k	  -54.139p	  -343.03p	   288.89p	   10.000m	   34.615M
    937	   56.021k	  -55.568p	  -332.50p	   276.93p	   10.000m	   36.110M
    938	   56.021k	  -52.842p	  -343.78p	   290.94p	   10.000m	   34.371M
    939	   56.022k	  -52.885p	  -340.28p	   287.40p	   10.000m	   34.795M
    940	   56.022k	  -54.722p	  -334.37p	   279.65p	   10.000m	   35.759M
    941	   56.023k	  -56.931p	  -340.47p	   283.54p	   10.000m	   35.269M
    942	   56.023k	  -55.693p	  -339.56p	   283.87p	   10.000m	   35.227M
    943	   56.023k	  -50.467p	  -334.09p	   283.63p	   10.000m	   35.258M
    944	   56.024k	  -54.955p	  -332.41p	   277.45p	   10.000m	   36.042M
    945	   56.024k	  -55.451p	  -345.34p	   289.89p	   10.000m	   34.496M
    946	   56.025k	  -51.337p	  -323.84p	   272.51p	   10.000m	   36.696M
    947	   56.025k	  -53.004p	  -332.97p	   279.96p	   10.000m	   35.719M
    948	   56.026k	  -57.459p	  -346.12p	   288.67p	   10.000m	   34.642M
    949	   56.026k	  -54.136p	  -349.25p	   295.11p	   10.000m	   33.885M
    950	   56.027k	  -50.404p	  -331.63p	   281.22p	   10.000m	   35.559M
    951	   56.027k	  -55.550p	  -330.56p	   275.01p	   10.000m	   36.362M
    952	   56.027k	  -59.982p	  -336.53p	   276.55p	   10.000m	   36.160M
    953	   56.028k	  -57.708p	  -340.09p	   282.39p	   10.000m	   35.413M
    954	   56.028k	  -52.370p	  -340.00p	   287.63p	   10.000m	   34.767M
    955	   56.029k	  -54.144p	  -331.38p	   277.23p	   10.000m	   36.071M
    956	   56.029k	  -49.846p	  -336.75p	   286.90p	   10.000m	   34.855M
    957	   56.030k	  -55.622p	  -334.87p	   279.25p	   10.000m	   35.810M
    958	   56.030k	  -57.671p	  -333.19p	   275.52p	   10.000m	   36.295M
    959	   56.030k	  -54.863p	  -325.50p	   270.64p	   10.000m	   36.950M
    960	   56.031k	  -54.412p	  -335.66p	   281.24p	   10.000m	   35.556M
    961	   56.031k	  -58.571p	  -341.25p	   282.68p	   10.000m	   35.376M
    962	   56.032k	  -56.098p	  -331.53p	   275.43p	   10.000m	   36.306M
    963	   56.032k	  -50.853p	  -328.34p	   277.49p	   10.000m	   36.037M
    964	   56.033k	  -54.739p	  -329.94p	   275.20p	   10.000m	   36.337M
    965	   56.033k	  -61.373p	  -329.62p	   268.25p	   10.000m	   37.278M
    966	   56.034k	  -53.283p	  -323.53p	   270.25p	   10.000m	   37.003M
    967	   56.034k	  -59.816p	  -350.87p	   291.06p	   10.000m	   34.357M
    968	   56.034k	  -65.424p	  -340.16p	   274.73p	   10.000m	   36.399M
    969	   56.035k	  -58.550p	  -339.06p	   280.51p	   10.000m	   35.649M
    970	   56.035k	  -62.865p	  -333.88p	   271.01p	   10.000m	   36.899M
    971	   56.036k	  -53.996p	  -339.78p	   285.79p	   10.000m	   34.991M
    972	   56.036k	  -53.019p	  -326.09p	   273.07p	   10.000m	   36.620M
