17-May-2019 11:54:01


GROUP_1	    5

SERIES_1_1	 "IVCC-I"	  ""	 17-May-2019	 11:35:58.858
EPC10/2-1	 C-Clamp	  0.0000 	  10.000m	  7.3014k	  6.8829p	  17.772p
EPC10/2-2	 V-Clamp	  0.0000 	  1.0000m	  2.8735k	  0.0000 	  1.0000p
Sweep #	 R_time[s]	   Mean[V]	    Min[V]	     a2-b3	  Constant	     a5/b4
    651	   42.213k	  -122.70p	  -900.50p	   777.80p	   10.000m	   12.857M
    652	   42.214k	  -124.25p	  -899.31p	   775.06p	   10.000m	   12.902M
    653	   42.214k	  -128.75p	  -901.50p	   772.75p	   10.000m	   12.941M
    654	   42.214k	  -123.83p	  -894.50p	   770.67p	   10.000m	   12.976M
    655	   42.215k	  -129.53p	  -899.56p	   770.03p	   10.000m	   12.987M
    656	   42.215k	  -122.85p	  -892.06p	   769.21p	   10.000m	   13.000M
    657	   42.216k	  -126.65p	  -905.75p	   779.10p	   10.000m	   12.835M
    658	   42.216k	  -127.74p	  -910.94p	   783.20p	   10.000m	   12.768M
    659	   42.217k	  -125.34p	  -893.44p	   768.09p	   10.000m	   13.019M
    660	   42.217k	  -127.84p	  -904.78p	   776.94p	   10.000m	   12.871M
    661	   42.218k	  -128.86p	  -905.16p	   776.29p	   10.000m	   12.882M
    662	   42.218k	  -125.86p	  -897.59p	   771.73p	   10.000m	   12.958M
    663	   42.218k	  -136.18p	  -923.53p	   787.35p	   10.000m	   12.701M
    664	   42.219k	  -123.34p	  -922.06p	   798.72p	   10.000m	   12.520M
    665	   42.219k	  -126.79p	  -913.22p	   786.43p	   10.000m	   12.716M
    666	   42.220k	  -126.29p	  -912.84p	   786.56p	   10.000m	   12.714M
    667	   42.220k	  -126.36p	  -922.69p	   796.33p	   10.000m	   12.558M
    668	   42.221k	  -123.64p	  -903.66p	   780.02p	   10.000m	   12.820M
    669	   42.221k	  -132.91p	  -916.75p	   783.84p	   10.000m	   12.758M
    670	   42.221k	  -122.93p	  -940.69p	   817.76p	   10.000m	   12.229M
    671	   42.222k	  -124.23p	  -911.53p	   787.30p	   10.000m	   12.702M
    672	   42.222k	  -122.58p	  -923.59p	   801.01p	   10.000m	   12.484M
    673	   42.223k	  -125.82p	  -924.56p	   798.74p	   10.000m	   12.520M
    674	   42.223k	  -126.52p	  -919.53p	   793.01p	   10.000m	   12.610M
    675	   42.224k	  -130.97p	  -918.37p	   787.41p	   10.000m	   12.700M
    676	   42.224k	  -125.53p	  -916.37p	   790.84p	   10.000m	   12.645M
    677	   42.225k	  -127.04p	  -913.22p	   786.18p	   10.000m	   12.720M
    678	   42.225k	  -125.01p	  -908.81p	   783.80p	   10.000m	   12.758M
    679	   42.225k	  -130.93p	  -929.12p	   798.20p	   10.000m	   12.528M
    680	   42.226k	  -129.03p	  -921.44p	   792.41p	   10.000m	   12.620M
    681	   42.226k	  -130.96p	  -921.31p	   790.36p	   10.000m	   12.653M
    682	   42.227k	  -125.77p	  -916.41p	   790.63p	   10.000m	   12.648M
    683	   42.227k	  -124.74p	  -911.88p	   787.13p	   10.000m	   12.704M
    684	   42.228k	  -129.13p	  -924.53p	   795.40p	   10.000m	   12.572M
    685	   42.228k	  -130.87p	  -915.44p	   784.57p	   10.000m	   12.746M
    686	   42.228k	  -124.09p	  -914.66p	   790.57p	   10.000m	   12.649M
    687	   42.229k	  -128.09p	  -918.78p	   790.69p	   10.000m	   12.647M
    688	   42.229k	  -130.95p	  -930.34p	   799.40p	   10.000m	   12.509M
    689	   42.230k	  -130.15p	  -928.72p	   798.57p	   10.000m	   12.522M
    690	   42.230k	  -126.84p	  -911.00p	   784.16p	   10.000m	   12.752M
    691	   42.231k	  -130.07p	  -910.91p	   780.83p	   10.000m	   12.807M
    692	   42.231k	  -132.04p	  -921.59p	   789.56p	   10.000m	   12.665M
    693	   42.232k	  -128.36p	  -920.19p	   791.83p	   10.000m	   12.629M
    694	   42.232k	  -125.60p	  -917.28p	   791.68p	   10.000m	   12.631M
    695	   42.232k	  -131.06p	  -933.25p	   802.19p	   10.000m	   12.466M
    696	   42.233k	  -124.34p	  -912.06p	   787.72p	   10.000m	   12.695M
    697	   42.233k	  -128.16p	  -910.66p	   782.50p	   10.000m	   12.780M
    698	   42.234k	  -125.82p	  -919.69p	   793.86p	   10.000m	   12.597M
    699	   42.234k	  -125.96p	  -915.16p	   789.20p	   10.000m	   12.671M
    700	   42.235k	  -125.54p	  -909.75p	   784.21p	   10.000m	   12.752M
    701	   42.235k	  -133.24p	  -925.22p	   791.97p	   10.000m	   12.627M
    702	   42.235k	  -131.76p	  -928.37p	   796.62p	   10.000m	   12.553M
    703	   42.236k	  -134.64p	  -923.78p	   789.14p	   10.000m	   12.672M
    704	   42.236k	  -125.72p	  -922.59p	   796.87p	   10.000m	   12.549M
    705	   42.237k	  -124.61p	  -926.78p	   802.17p	   10.000m	   12.466M
    706	   42.237k	  -131.27p	  -928.22p	   796.95p	   10.000m	   12.548M
    707	   42.238k	  -128.43p	  -922.78p	   794.35p	   10.000m	   12.589M
    708	   42.238k	  -125.89p	  -917.41p	   791.51p	   10.000m	   12.634M
    709	   42.239k	  -122.10p	  -915.56p	   793.46p	   10.000m	   12.603M
    710	   42.239k	  -126.08p	  -924.00p	   797.92p	   10.000m	   12.533M
    711	   42.239k	  -124.09p	  -923.41p	   799.32p	   10.000m	   12.511M
    712	   42.240k	  -135.81p	  -908.47p	   772.66p	   10.000m	   12.942M
    713	   42.240k	  -130.65p	  -918.03p	   787.38p	   10.000m	   12.700M
    714	   42.241k	  -128.98p	  -910.59p	   781.61p	   10.000m	   12.794M
    715	   42.241k	  -131.99p	  -918.53p	   786.54p	   10.000m	   12.714M
    716	   42.242k	  -127.31p	  -917.59p	   790.28p	   10.000m	   12.654M
    717	   42.242k	  -128.80p	  -923.13p	   794.33p	   10.000m	   12.589M
    718	   42.242k	  -125.42p	  -910.00p	   784.58p	   10.000m	   12.746M
    719	   42.243k	  -127.27p	  -913.41p	   786.14p	   10.000m	   12.720M
    720	   42.243k	  -128.14p	  -913.09p	   784.95p	   10.000m	   12.740M
    721	   42.244k	  -131.24p	  -915.97p	   784.73p	   10.000m	   12.743M
    722	   42.244k	  -127.23p	  -914.00p	   786.77p	   10.000m	   12.710M
    723	   42.245k	  -126.45p	  -918.97p	   792.52p	   10.000m	   12.618M
    724	   42.245k	  -127.08p	  -917.41p	   790.32p	   10.000m	   12.653M
    725	   42.246k	  -129.57p	  -927.62p	   798.06p	   10.000m	   12.530M
    726	   42.246k	  -128.55p	  -924.06p	   795.51p	   10.000m	   12.571M
    727	   42.246k	  -130.33p	  -924.00p	   793.67p	   10.000m	   12.600M
    728	   42.247k	  -130.07p	  -918.06p	   787.99p	   10.000m	   12.691M
    729	   42.247k	  -134.22p	  -918.16p	   783.93p	   10.000m	   12.756M
    730	   42.248k	  -131.72p	  -911.84p	   780.13p	   10.000m	   12.818M
    731	   42.248k	  -126.70p	  -932.69p	   805.99p	   10.000m	   12.407M
    732	   42.249k	  -137.94p	  -928.59p	   790.65p	   10.000m	   12.648M
    733	   42.249k	  -128.38p	  -924.44p	   796.06p	   10.000m	   12.562M
    734	   42.249k	  -129.09p	  -932.78p	   803.69p	   10.000m	   12.443M
    735	   42.250k	  -140.85p	  -919.84p	   779.00p	   10.000m	   12.837M
    736	   42.250k	  -127.40p	  -919.38p	   791.97p	   10.000m	   12.627M
    737	   42.251k	  -131.04p	  -918.87p	   787.84p	   10.000m	   12.693M
    738	   42.251k	  -130.29p	  -922.50p	   792.21p	   10.000m	   12.623M
    739	   42.252k	  -127.96p	  -927.94p	   799.98p	   10.000m	   12.500M
    740	   42.252k	  -129.02p	  -921.31p	   792.29p	   10.000m	   12.622M
    741	   42.253k	  -133.67p	  -930.41p	   796.74p	   10.000m	   12.551M
    742	   42.253k	  -132.43p	  -927.03p	   794.60p	   10.000m	   12.585M
    743	   42.253k	  -128.55p	  -932.59p	   804.04p	   10.000m	   12.437M
    744	   42.254k	  -126.96p	  -928.56p	   801.60p	   10.000m	   12.475M
    745	   42.254k	  -131.94p	  -934.41p	   802.47p	   10.000m	   12.462M
    746	   42.255k	  -141.70p	  -936.66p	   794.95p	   10.000m	   12.579M
    747	   42.255k	  -126.66p	  -916.72p	   790.06p	   10.000m	   12.657M
    748	   42.256k	  -130.18p	  -930.47p	   800.29p	   10.000m	   12.495M
    749	   42.256k	  -138.14p	  -917.25p	   779.11p	   10.000m	   12.835M
    750	   42.256k	  -129.62p	  -933.75p	   804.13p	   10.000m	   12.436M
    751	   42.257k	  -129.63p	  -924.59p	   794.96p	   10.000m	   12.579M
    752	   42.257k	  -128.85p	  -923.16p	   794.30p	   10.000m	   12.590M
    753	   42.258k	  -126.98p	  -933.69p	   806.71p	   10.000m	   12.396M
    754	   42.258k	  -134.03p	  -918.78p	   784.75p	   10.000m	   12.743M
    755	   42.259k	  -137.72p	  -926.37p	   788.66p	   10.000m	   12.680M
    756	   42.259k	  -129.94p	  -928.78p	   798.84p	   10.000m	   12.518M
    757	   42.260k	  -125.98p	  -914.47p	   788.49p	   10.000m	   12.682M
    758	   42.260k	  -128.75p	  -915.44p	   786.69p	   10.000m	   12.711M
    759	   42.260k	  -129.91p	  -928.66p	   798.75p	   10.000m	   12.520M
    760	   42.261k	  -129.72p	  -920.09p	   790.38p	   10.000m	   12.652M
    761	   42.261k	  -131.12p	  -926.00p	   794.88p	   10.000m	   12.581M
    762	   42.262k	  -131.00p	  -910.97p	   779.97p	   10.000m	   12.821M
    763	   42.262k	  -129.21p	  -914.62p	   785.42p	   10.000m	   12.732M
    764	   42.263k	  -129.92p	  -922.78p	   792.86p	   10.000m	   12.613M
    765	   42.263k	  -127.85p	  -933.62p	   805.78p	   10.000m	   12.410M
    766	   42.263k	  -135.46p	  -918.37p	   782.91p	   10.000m	   12.773M
    767	   42.264k	  -127.96p	  -918.16p	   790.20p	   10.000m	   12.655M
    768	   42.264k	  -134.42p	  -922.34p	   787.93p	   10.000m	   12.692M
    769	   42.265k	  -132.03p	  -927.19p	   795.16p	   10.000m	   12.576M
    770	   42.265k	  -129.76p	  -919.03p	   789.27p	   10.000m	   12.670M
    771	   42.266k	  -131.79p	  -928.00p	   796.21p	   10.000m	   12.560M
    772	   42.266k	  -128.50p	  -917.00p	   788.50p	   10.000m	   12.682M
    773	   42.267k	  -134.03p	  -924.62p	   790.60p	   10.000m	   12.649M
    774	   42.267k	  -134.12p	  -922.81p	   788.70p	   10.000m	   12.679M
    775	   42.267k	  -130.92p	  -919.06p	   788.15p	   10.000m	   12.688M
    776	   42.268k	  -127.89p	  -920.44p	   792.55p	   10.000m	   12.617M
    777	   42.268k	  -125.14p	  -919.22p	   794.08p	   10.000m	   12.593M
    778	   42.269k	  -136.72p	  -930.34p	   793.63p	   10.000m	   12.600M
    779	   42.269k	  -131.16p	  -937.13p	   805.96p	   10.000m	   12.408M
    780	   42.270k	  -140.39p	  -923.84p	   783.46p	   10.000m	   12.764M
    781	   42.270k	  -136.78p	  -927.19p	   790.41p	   10.000m	   12.652M
    782	   42.270k	  -133.67p	  -918.87p	   785.20p	   10.000m	   12.736M
    783	   42.271k	  -131.99p	  -929.50p	   797.51p	   10.000m	   12.539M
    784	   42.271k	  -136.10p	  -921.94p	   785.83p	   10.000m	   12.725M
    785	   42.272k	  -128.68p	  -921.88p	   793.20p	   10.000m	   12.607M
    786	   42.272k	  -129.81p	  -921.59p	   791.78p	   10.000m	   12.630M
    787	   42.273k	  -131.31p	  -910.75p	   779.44p	   10.000m	   12.830M
    788	   42.273k	  -132.01p	  -913.50p	   781.49p	   10.000m	   12.796M
    789	   42.274k	  -126.18p	  -915.97p	   789.79p	   10.000m	   12.662M
    790	   42.274k	  -124.72p	  -923.13p	   798.40p	   10.000m	   12.525M
    791	   42.274k	  -132.46p	  -925.12p	   792.67p	   10.000m	   12.616M
    792	   42.275k	  -131.35p	  -925.12p	   793.77p	   10.000m	   12.598M
    793	   42.275k	  -130.56p	  -920.16p	   789.60p	   10.000m	   12.665M
    794	   42.276k	  -129.35p	  -924.56p	   795.21p	   10.000m	   12.575M
    795	   42.276k	  -127.13p	  -926.16p	   799.03p	   10.000m	   12.515M
    796	   42.277k	  -128.10p	  -908.81p	   780.71p	   10.000m	   12.809M
    797	   42.277k	  -132.40p	  -929.69p	   797.29p	   10.000m	   12.542M
    798	   42.277k	  -127.47p	  -915.44p	   787.97p	   10.000m	   12.691M
    799	   42.278k	  -129.58p	  -921.41p	   791.82p	   10.000m	   12.629M
    800	   42.278k	  -122.12p	  -907.53p	   785.41p	   10.000m	   12.732M
    801	   42.279k	  -129.33p	  -928.56p	   799.24p	   10.000m	   12.512M
    802	   42.279k	  -139.30p	  -916.88p	   777.57p	   10.000m	   12.861M
    803	   42.280k	  -128.82p	  -916.94p	   788.11p	   10.000m	   12.689M
    804	   42.280k	  -132.50p	  -910.37p	   777.87p	   10.000m	   12.856M
    805	   42.281k	  -130.13p	  -924.47p	   794.34p	   10.000m	   12.589M
    806	   42.281k	  -124.71p	  -915.06p	   790.35p	   10.000m	   12.653M
    807	   42.281k	  -126.91p	  -926.13p	   799.22p	   10.000m	   12.512M
    808	   42.282k	  -127.00p	  -928.09p	   801.10p	   10.000m	   12.483M
    809	   42.282k	  -127.77p	  -923.75p	   795.98p	   10.000m	   12.563M
    810	   42.283k	  -126.98p	  -895.09p	   768.11p	   10.000m	   13.019M
    811	   42.283k	  -131.17p	  -931.78p	   800.61p	   10.000m	   12.490M
    812	   42.284k	  -133.23p	  -922.75p	   789.52p	   10.000m	   12.666M
    813	   42.284k	  -129.16p	  -914.00p	   784.84p	   10.000m	   12.741M
    814	   42.284k	  -128.92p	  -920.69p	   791.77p	   10.000m	   12.630M
    815	   42.285k	  -133.11p	  -911.91p	   778.79p	   10.000m	   12.840M
    816	   42.285k	  -138.00p	  -910.47p	   772.47p	   10.000m	   12.945M
    817	   42.286k	  -149.02p	  -910.12p	   761.10p	   10.000m	   13.139M
    818	   42.286k	  -133.11p	  -916.41p	   783.30p	   10.000m	   12.767M
    819	   42.287k	  -133.66p	  -924.34p	   790.69p	   10.000m	   12.647M
    820	   42.287k	  -136.50p	  -915.91p	   779.41p	   10.000m	   12.830M
    821	   42.288k	  -139.38p	  -938.34p	   798.96p	   10.000m	   12.516M
    822	   42.288k	  -137.63p	  -920.16p	   782.52p	   10.000m	   12.779M
    823	   42.288k	  -146.58p	  -953.97p	   807.39p	   10.000m	   12.386M
    824	   42.289k	  -141.41p	  -944.50p	   803.09p	   10.000m	   12.452M
    825	   42.289k	  -141.31p	  -932.78p	   791.47p	   10.000m	   12.635M
    826	   42.290k	  -141.41p	  -916.22p	   774.81p	   10.000m	   12.906M
    827	   42.290k	  -136.61p	  -924.44p	   787.83p	   10.000m	   12.693M
    828	   42.291k	  -131.65p	  -906.56p	   774.91p	   10.000m	   12.905M
    829	   42.291k	  -135.96p	  -926.53p	   790.57p	   10.000m	   12.649M
    830	   42.291k	  -152.54p	  -939.94p	   787.40p	   10.000m	   12.700M
    831	   42.292k	  -151.84p	  -925.78p	   773.94p	   10.000m	   12.921M
    832	   42.292k	  -138.76p	  -919.75p	   780.99p	   10.000m	   12.804M
    833	   42.293k	  -139.41p	  -934.12p	   794.72p	   10.000m	   12.583M
    834	   42.293k	  -138.97p	  -944.03p	   805.06p	   10.000m	   12.421M
    835	   42.294k	  -139.91p	  -914.16p	   774.25p	   10.000m	   12.916M
    836	   42.294k	  -139.03p	  -920.94p	   781.90p	   10.000m	   12.789M
    837	   42.295k	  -138.60p	  -933.84p	   795.24p	   10.000m	   12.575M
    838	   42.295k	  -152.10p	  -936.56p	   784.46p	   10.000m	   12.748M
    839	   42.295k	  -147.31p	  -949.66p	   802.35p	   10.000m	   12.463M
    840	   42.296k	  -143.71p	  -919.53p	   775.82p	   10.000m	   12.890M
    841	   42.296k	  -145.45p	  -934.28p	   788.83p	   10.000m	   12.677M
    842	   42.297k	  -142.54p	  -916.69p	   774.14p	   10.000m	   12.917M
    843	   42.297k	  -144.96p	  -939.19p	   794.23p	   10.000m	   12.591M
    844	   42.298k	  -142.94p	  -919.38p	   776.43p	   10.000m	   12.879M
    845	   42.298k	  -142.12p	  -931.53p	   789.41p	   10.000m	   12.668M
    846	   42.298k	  -147.81p	  -948.25p	   800.44p	   10.000m	   12.493M
    847	   42.299k	  -143.84p	  -945.09p	   801.26p	   10.000m	   12.480M
    848	   42.299k	  -144.57p	  -932.06p	   787.49p	   10.000m	   12.699M
    849	   42.300k	  -143.36p	  -941.69p	   798.33p	   10.000m	   12.526M
    850	   42.300k	  -139.41p	  -926.41p	   787.00p	   10.000m	   12.706M
    851	   42.301k	  -141.04p	  -927.59p	   786.56p	   10.000m	   12.714M
    852	   42.301k	  -140.97p	  -920.84p	   779.88p	   10.000m	   12.823M
    853	   42.302k	  -145.78p	  -929.56p	   783.78p	   10.000m	   12.759M
    854	   42.302k	  -160.08p	  -951.69p	   791.61p	   10.000m	   12.632M
    855	   42.302k	  -149.42p	  -938.50p	   789.08p	   10.000m	   12.673M
    856	   42.303k	  -152.04p	  -940.44p	   788.40p	   10.000m	   12.684M
    857	   42.303k	  -157.91p	  -975.63p	   817.72p	   10.000m	   12.229M
    858	   42.304k	  -150.36p	  -954.28p	   803.92p	   10.000m	   12.439M
    859	   42.304k	  -155.31p	  -947.16p	   791.85p	   10.000m	   12.629M
    860	   42.305k	  -153.45p	  -967.91p	   814.45p	   10.000m	   12.278M
    861	   42.305k	  -155.58p	  -970.38p	   814.80p	   10.000m	   12.273M
    862	   42.305k	  -160.68p	  -984.59p	   823.91p	   10.000m	   12.137M
    863	   42.306k	  -168.39p	  -982.59p	   814.21p	   10.000m	   12.282M
    864	   42.306k	  -181.99p	  -985.84p	   803.85p	   10.000m	   12.440M
    865	   42.307k	  -178.18p	  -997.34p	   819.16p	   10.000m	   12.208M
    866	   42.307k	  -174.34p	  -995.03p	   820.69p	   10.000m	   12.185M
    867	   42.308k	  -166.29p	  -988.94p	   822.65p	   10.000m	   12.156M
    868	   42.308k	  -167.86p	  -970.56p	   802.71p	   10.000m	   12.458M
    869	   42.309k	  -168.99p	  -1.0044n	   835.38p	   10.000m	   11.971M
    870	   42.309k	  -170.93p	  -991.84p	   820.92p	   10.000m	   12.181M
    871	   42.309k	  -177.25p	  -988.87p	   811.62p	   10.000m	   12.321M
    872	   42.310k	  -176.00p	  -1.0095n	   833.53p	   10.000m	   11.997M
    873	   42.310k	  -169.16p	  -1.0062n	   837.09p	   10.000m	   11.946M
    874	   42.311k	  -175.40p	  -1.0179n	   842.51p	   10.000m	   11.869M
    875	   42.311k	  -160.70p	  -988.47p	   827.77p	   10.000m	   12.081M
    876	   42.312k	  -154.52p	  -969.03p	   814.51p	   10.000m	   12.277M
    877	   42.312k	  -178.78p	  -1.0240n	   845.22p	   10.000m	   11.831M
    878	   42.312k	  -166.20p	  -988.56p	   822.36p	   10.000m	   12.160M
    879	   42.313k	  -160.99p	  -1.0240n	   863.01p	   10.000m	   11.587M
    880	   42.313k	  -157.17p	  -959.56p	   802.39p	   10.000m	   12.463M
    881	   42.314k	  -161.73p	  -979.81p	   818.08p	   10.000m	   12.224M
    882	   42.314k	  -157.34p	  -992.03p	   834.69p	   10.000m	   11.980M
    883	   42.315k	  -154.72p	  -967.03p	   812.31p	   10.000m	   12.310M
    884	   42.315k	  -174.84p	  -1.0127n	   837.85p	   10.000m	   11.935M
    885	   42.316k	  -169.70p	  -1.0150n	   845.30p	   10.000m	   11.830M
    886	   42.316k	  -171.32p	  -987.28p	   815.97p	   10.000m	   12.255M
    887	   42.316k	  -186.21p	  -1.0139n	   827.66p	   10.000m	   12.082M
    888	   42.317k	  -167.92p	  -1.0015n	   833.55p	   10.000m	   11.997M
    889	   42.317k	  -168.86p	  -995.44p	   826.58p	   10.000m	   12.098M
    890	   42.318k	  -166.66p	  -997.53p	   830.88p	   10.000m	   12.035M
    891	   42.318k	  -190.05p	  -1.0230n	   832.98p	   10.000m	   12.005M
    892	   42.319k	  -162.24p	  -999.03p	   836.79p	   10.000m	   11.950M
    893	   42.319k	  -175.62p	  -1.0157n	   840.06p	   10.000m	   11.904M
    894	   42.319k	  -184.51p	  -1.0230n	   838.49p	   10.000m	   11.926M
    895	   42.320k	  -201.95p	  -1.0240n	   822.05p	   10.000m	   12.165M
    896	   42.320k	  -178.06p	  -1.0133n	   835.26p	   10.000m	   11.972M
    897	   42.321k	  -186.08p	  -1.0240n	   837.92p	   10.000m	   11.934M
    898	   42.321k	  -171.78p	  -1.0094n	   837.63p	   10.000m	   11.938M
    899	   42.322k	  -171.33p	  -1.0194n	   848.05p	   10.000m	   11.792M
    900	   42.322k	  -171.50p	  -1.0076n	   836.09p	   10.000m	   11.960M
    901	   42.323k	  -173.92p	  -1.0240n	   850.08p	   10.000m	   11.764M
    902	   42.323k	  -164.83p	  -1.0218n	   856.92p	   10.000m	   11.670M
    903	   42.323k	  -163.10p	  -1.0105n	   847.37p	   10.000m	   11.801M
    904	   42.324k	  -154.35p	  -989.16p	   834.80p	   10.000m	   11.979M
    905	   42.324k	  -158.17p	  -981.44p	   823.27p	   10.000m	   12.147M
    906	   42.325k	  -152.11p	  -986.59p	   834.49p	   10.000m	   11.983M
    907	   42.325k	  -152.53p	  -988.25p	   835.72p	   10.000m	   11.966M
    908	   42.326k	  -157.94p	  -998.69p	   840.75p	   10.000m	   11.894M
    909	   42.326k	  -149.77p	  -1.0240n	   874.23p	   10.000m	   11.439M
    910	   42.326k	  -158.60p	  -984.50p	   825.90p	   10.000m	   12.108M
    911	   42.327k	  -157.97p	  -1.0006n	   842.65p	   10.000m	   11.867M
    912	   42.327k	  -152.36p	  -974.31p	   821.96p	   10.000m	   12.166M
    913	   42.328k	  -164.97p	  -993.34p	   828.38p	   10.000m	   12.072M
    914	   42.328k	  -156.64p	  -967.50p	   810.86p	   10.000m	   12.333M
    915	   42.329k	  -163.13p	  -1.0173n	   854.18p	   10.000m	   11.707M
    916	   42.329k	  -162.60p	  -979.47p	   816.87p	   10.000m	   12.242M
    917	   42.330k	  -154.05p	  -996.41p	   842.35p	   10.000m	   11.872M
    918	   42.330k	  -151.51p	  -972.28p	   820.77p	   10.000m	   12.184M
    919	   42.330k	  -154.46p	  -993.38p	   838.92p	   10.000m	   11.920M
    920	   42.331k	  -157.51p	  -995.53p	   838.02p	   10.000m	   11.933M
    921	   42.331k	  -157.23p	  -999.69p	   842.46p	   10.000m	   11.870M
    922	   42.332k	  -160.95p	  -1.0088n	   847.87p	   10.000m	   11.794M
    923	   42.332k	  -177.48p	  -987.81p	   810.34p	   10.000m	   12.341M
    924	   42.333k	  -152.64p	  -1.0240n	   871.36p	   10.000m	   11.476M
    925	   42.333k	  -159.32p	  -1.0129n	   853.59p	   10.000m	   11.715M
    926	   42.333k	  -154.45p	  -997.00p	   842.55p	   10.000m	   11.869M
    927	   42.334k	  -159.58p	  -989.63p	   830.05p	   10.000m	   12.047M
    928	   42.334k	  -158.30p	  -1.0079n	   849.61p	   10.000m	   11.770M
    929	   42.335k	  -157.22p	  -990.78p	   833.56p	   10.000m	   11.997M
    930	   42.335k	  -163.02p	  -993.06p	   830.05p	   10.000m	   12.048M
    931	   42.336k	  -164.67p	  -997.09p	   832.43p	   10.000m	   12.013M
    932	   42.336k	  -158.15p	  -1.0002n	   842.10p	   10.000m	   11.875M
    933	   42.337k	  -159.67p	  -1.0019n	   842.27p	   10.000m	   11.873M
    934	   42.337k	  -154.61p	  -986.69p	   832.08p	   10.000m	   12.018M
    935	   42.337k	  -164.97p	  -992.44p	   827.47p	   10.000m	   12.085M
    936	   42.338k	  -151.29p	  -1.0051n	   853.81p	   10.000m	   11.712M
    937	   42.338k	  -160.49p	  -994.84p	   834.35p	   10.000m	   11.985M
    938	   42.339k	  -161.28p	  -995.66p	   834.38p	   10.000m	   11.985M
    939	   42.339k	  -160.08p	  -999.84p	   839.76p	   10.000m	   11.908M
    940	   42.340k	  -154.51p	  -998.22p	   843.71p	   10.000m	   11.852M
    941	   42.340k	  -156.63p	  -999.63p	   842.99p	   10.000m	   11.862M
    942	   42.340k	  -160.35p	  -1.0002n	   839.84p	   10.000m	   11.907M
    943	   42.341k	  -151.66p	  -1.0032n	   851.56p	   10.000m	   11.743M
    944	   42.341k	  -156.01p	  -989.78p	   833.77p	   10.000m	   11.994M
    945	   42.342k	  -150.44p	  -995.31p	   844.87p	   10.000m	   11.836M
    946	   42.342k	  -166.68p	  -996.12p	   829.44p	   10.000m	   12.056M
    947	   42.343k	  -149.84p	  -981.16p	   831.32p	   10.000m	   12.029M
    948	   42.343k	  -152.41p	  -1.0065n	   854.06p	   10.000m	   11.709M
    949	   42.344k	  -155.84p	  -1.0015n	   845.69p	   10.000m	   11.825M
    950	   42.344k	  -152.29p	  -1.0068n	   854.55p	   10.000m	   11.702M
    951	   42.344k	  -153.38p	  -989.91p	   836.53p	   10.000m	   11.954M
    952	   42.345k	  -152.77p	  -993.41p	   840.64p	   10.000m	   11.896M
    953	   42.345k	  -159.64p	  -979.13p	   819.48p	   10.000m	   12.203M
    954	   42.346k	  -155.18p	  -994.63p	   839.45p	   10.000m	   11.913M
    955	   42.346k	  -156.17p	  -993.62p	   837.45p	   10.000m	   11.941M
    956	   42.347k	  -152.13p	  -994.78p	   842.66p	   10.000m	   11.867M
    957	   42.347k	  -146.76p	  -995.47p	   848.71p	   10.000m	   11.783M
    958	   42.347k	  -156.56p	  -996.66p	   840.09p	   10.000m	   11.903M
    959	   42.348k	  -150.82p	  -991.84p	   841.03p	   10.000m	   11.890M
    960	   42.348k	  -152.01p	  -984.28p	   832.27p	   10.000m	   12.015M
    961	   42.349k	  -151.64p	  -994.00p	   842.36p	   10.000m	   11.871M
    962	   42.349k	  -146.99p	  -1.0019n	   854.95p	   10.000m	   11.697M
    963	   42.350k	  -148.64p	  -978.06p	   829.42p	   10.000m	   12.057M
    964	   42.350k	  -148.19p	  -982.37p	   834.19p	   10.000m	   11.988M
    965	   42.351k	  -145.17p	  -976.97p	   831.80p	   10.000m	   12.022M
    966	   42.351k	  -149.15p	  -976.84p	   827.70p	   10.000m	   12.082M
    967	   42.351k	  -151.62p	  -979.63p	   828.01p	   10.000m	   12.077M
    968	   42.352k	  -149.65p	  -983.66p	   834.01p	   10.000m	   11.990M
    969	   42.352k	  -154.36p	  -988.87p	   834.51p	   10.000m	   11.983M
    970	   42.353k	  -152.30p	  -986.97p	   834.67p	   10.000m	   11.981M
    971	   42.353k	  -151.48p	  -986.16p	   834.68p	   10.000m	   11.981M
    972	   42.354k	  -151.76p	  -999.94p	   848.17p	   10.000m	   11.790M
    973	   42.354k	  -154.72p	  -980.53p	   825.81p	   10.000m	   12.109M
    974	   42.354k	  -150.63p	  -981.94p	   831.30p	   10.000m	   12.029M
    975	   42.355k	  -150.89p	  -998.97p	   848.08p	   10.000m	   11.791M
    976	   42.355k	  -148.90p	  -984.87p	   835.98p	   10.000m	   11.962M
    977	   42.356k	  -151.33p	  -986.59p	   835.26p	   10.000m	   11.972M
    978	   42.356k	  -155.77p	  -979.38p	   823.61p	   10.000m	   12.142M
    979	   42.357k	  -148.71p	  -988.97p	   840.25p	   10.000m	   11.901M
    980	   42.357k	  -150.34p	  -998.06p	   847.72p	   10.000m	   11.796M
    981	   42.358k	  -158.77p	  -1.0050n	   846.26p	   10.000m	   11.817M
    982	   42.358k	  -153.55p	  -987.75p	   834.20p	   10.000m	   11.988M
    983	   42.358k	  -165.82p	  -990.22p	   824.40p	   10.000m	   12.130M
    984	   42.359k	  -153.55p	  -989.34p	   835.80p	   10.000m	   11.965M
    985	   42.359k	  -150.10p	  -970.19p	   820.08p	   10.000m	   12.194M
