17-May-2019 11:54:01


GROUP_1	    5

SERIES_1_1	 "IVCC-I"	  ""	 17-May-2019	 11:35:58.858
EPC10/2-1	 C-Clamp	  0.0000 	  10.000m	  7.3014k	  6.8829p	  17.772p
EPC10/2-2	 V-Clamp	  0.0000 	  1.0000m	  2.8735k	  0.0000 	  1.0000p
Sweep #	 R_time[s]	   Mean[V]	    Min[V]	     a2-b3	  Constant	     a5/b4
    304	   42.061k	  -126.39p	  -909.25p	   782.86p	   10.000m	   12.774M
    305	   42.062k	  -128.08p	  -903.16p	   775.08p	   10.000m	   12.902M
    306	   42.062k	  -126.97p	  -904.16p	   777.18p	   10.000m	   12.867M
    307	   42.063k	  -133.24p	  -912.53p	   779.30p	   10.000m	   12.832M
    308	   42.063k	  -123.75p	  -900.06p	   776.31p	   10.000m	   12.881M
    309	   42.064k	  -126.52p	  -898.59p	   772.07p	   10.000m	   12.952M
    310	   42.064k	  -130.57p	  -910.50p	   779.93p	   10.000m	   12.822M
    311	   42.064k	  -128.45p	  -908.37p	   779.92p	   10.000m	   12.822M
    312	   42.065k	  -129.44p	  -918.56p	   789.13p	   10.000m	   12.672M
    313	   42.065k	  -128.46p	  -909.19p	   780.73p	   10.000m	   12.808M
    314	   42.066k	  -128.19p	  -905.12p	   776.93p	   10.000m	   12.871M
